a,b,c,d,e,f,g,h,i,j,k,l,m
SCB EASY,FINANCE,4.2,112656,93M,"5,000,000+",True,0.0,Everyone,Finance,2018-07-19,3.9.0,4.1 and up
CASHIER,FINANCE,3.3,335738,Varies with device,"10,000,000+",True,0.0,Everyone,Finance,2018-05-03,Varies with device,Varies with device
Rabo Banking,FINANCE,3.4,31906,Varies with device,"1,000,000+",True,0.0,Everyone,Finance,2018-07-19,5.16.0,4.0 and up
Capitec Remote Banking,FINANCE,4.3,20672,Varies with device,"1,000,000+",True,0.0,Everyone,Finance,2018-05-08,Varies with device,Varies with device
Itau bank,FINANCE,4.2,957973,40M,"10,000,000+",True,0.0,Everyone,Finance,2018-07-30,6.5.7,4.2 and up
Nubank,FINANCE,4.7,130582,24M,"5,000,000+",True,0.0,Everyone,Finance,2018-08-02,Varies with device,Varies with device
The Societe Generale App,FINANCE,4.1,31218,Varies with device,"1,000,000+",True,0.0,Everyone,Finance,2018-07-31,Varies with device,Varies with device
IKO,FINANCE,4.7,167168,20M,"1,000,000+",True,0.0,Everyone,Finance,2018-07-04,3.115.27,4.1 and up
Cash App,FINANCE,4.0,34428,15M,"10,000,000+",True,0.0,Everyone,Finance,2018-08-02,2.31.1,5.0 and up
Standard Bank / Stanbic Bank,FINANCE,3.6,15247,28M,"1,000,000+",True,0.0,Everyone,Finance,2018-07-13,3.0.5,4.0.3 and up
Bualuang mBanking,FINANCE,4.0,48445,10M,"5,000,000+",True,0.0,Everyone,Finance,2018-07-16,2.6.0,4.0.3 and up
Intesa Sanpaolo Mobile,FINANCE,3.6,35518,Varies with device,"1,000,000+",True,0.0,Everyone,Finance,2018-07-02,Varies with device,Varies with device
UBA Mobile Banking,FINANCE,4.3,12185,Varies with device,"1,000,000+",True,0.0,Everyone,Finance,2018-06-08,Varies with device,Varies with device
BBVA Spain,FINANCE,4.2,36746,Varies with device,"5,000,000+",True,0.0,Everyone,Finance,2018-07-24,Varies with device,Varies with device
MyMo by GSB,FINANCE,4.2,21996,14M,"1,000,000+",True,0.0,Everyone,Finance,2018-07-19,1.17.2,4.0.3 and up
VTB-Online,FINANCE,4.1,138371,Varies with device,"5,000,000+",True,0.0,Everyone,Finance,2018-08-02,Varies with device,4.0.3 and up
Ecobank Mobile Banking,FINANCE,4.0,12073,42M,"1,000,000+",True,0.0,Everyone,Finance,2018-05-25,3.3,4.2 and up
Banorte Movil,FINANCE,4.1,111632,65M,"1,000,000+",True,0.0,Everyone,Finance,2018-06-09,5.10.1.40699,4.4 and up
Wells Fargo Mobile,FINANCE,4.4,250706,37M,"10,000,000+",True,0.0,Everyone,Finance,2018-07-31,6.8.0.109,5.0 and up
Credit Karma,FINANCE,4.7,706301,Varies with device,"10,000,000+",True,0.0,Everyone,Finance,2018-07-31,Varies with device,Varies with device
BZWBK24 mobile,FINANCE,4.5,64959,39M,"1,000,000+",True,0.0,Everyone,Finance,2018-06-18,5.0.1,4.1 and up
PayPal,FINANCE,4.3,659741,47M,"50,000,000+",True,0.0,Everyone,Finance,2018-07-18,6.28.0,4.4 and up
Capital One® Mobile,FINANCE,4.6,510392,79M,"10,000,000+",True,0.0,Everyone,Finance,2018-08-01,5.38.1,5.0 and up
Zenith Bank Mobile App,FINANCE,4.3,7215,18M,"1,000,000+",True,0.0,Everyone,Finance,2018-07-23,2.7.4,4.0 and up
"GCash - Buy Load, Pay Bills, Send Money",FINANCE,4.0,25508,Varies with device,"1,000,000+",True,0.0,Everyone,Finance,2018-07-31,Varies with device,4.2 and up
Post Bank,FINANCE,4.5,60449,100M,"1,000,000+",True,0.0,Everyone,Finance,2018-07-23,2.9.12,4.0 and up
İşCep,FINANCE,4.5,381788,32M,"10,000,000+",True,0.0,Everyone,Finance,2018-08-02,3.22.0,4.1 and up
People's Bank,FINANCE,3.6,10697,46M,"1,000,000+",True,0.0,Everyone,Finance,2018-07-18,3.22.1,4.1 and up
Google Pay,FINANCE,4.2,347838,Varies with device,"100,000,000+",True,0.0,Everyone,Finance,2018-07-26,2.70.206190089,Varies with device
Transfer,FINANCE,4.1,31804,9.8M,"5,000,000+",True,0.0,Everyone,Finance,2018-07-27,3.1.6.12,4.0 and up
T-Mobile in,FINANCE,3.5,3856,8.2M,"1,000,000+",True,0.0,Everyone,Finance,2018-07-31,3.2.1,4.4 and up
TrueMoney Wallet,FINANCE,4.4,199684,18M,"5,000,000+",True,0.0,Everyone,Finance,2018-07-19,Varies with device,Varies with device
Alfa-Bank (Alfa-Bank),FINANCE,4.0,44545,Varies with device,"1,000,000+",True,0.0,Everyone,Finance,2018-07-31,Varies with device,Varies with device
Bank of Brazil,FINANCE,4.5,1336246,39M,"10,000,000+",True,0.0,Everyone,Finance,2018-08-03,6.39.1.4,4.1 and up
WiseBanyan - Invest For Free,FINANCE,4.2,257,44M,"10,000+",True,0.0,Everyone,Finance,2018-07-31,2.2.12,4.4W and up
"Robinhood - Investing, No Fees",FINANCE,4.6,57493,Varies with device,"1,000,000+",True,0.0,Everyone,Finance,2018-07-31,Varies with device,Varies with device
Wells Fargo Daily Change,FINANCE,4.2,283,5.0M,"100,000+",True,0.0,Everyone,Finance,2018-04-26,2.5.0.26,5.0 and up
"Even - organize your money, get paid early",FINANCE,4.8,12304,21M,"100,000+",True,0.0,Everyone,Finance,2018-08-02,6.0.16,5.0 and up
Digit Save Money Automatically,FINANCE,4.5,8188,22M,"100,000+",True,0.0,Everyone,Finance,2018-07-31,2.29.01,4.1 and up
Stash: Invest. Learn. Save.,FINANCE,4.2,11919,23M,"1,000,000+",True,0.0,Everyone,Finance,2018-07-27,1.13.2.11,4.4 and up
Acorns - Invest Spare Change,FINANCE,4.3,45957,Varies with device,"1,000,000+",True,0.0,Everyone,Finance,2018-07-31,Varies with device,Varies with device
Google Pay,FINANCE,4.2,347838,Varies with device,"100,000,000+",True,0.0,Everyone,Finance,2018-07-26,2.70.206190089,Varies with device
"Money Lover: Expense Tracker, Budget Planner",FINANCE,4.4,126431,Varies with device,"1,000,000+",True,0.0,Everyone,Finance,2018-08-01,Varies with device,Varies with device
Expense IQ Money Manager,FINANCE,4.4,21570,27M,"1,000,000+",True,0.0,Everyone,Finance,2018-06-19,2.0.4,4.0 and up
Money Manager Expense & Budget,FINANCE,4.6,134564,Varies with device,"5,000,000+",True,0.0,Everyone,Finance,2018-07-25,Varies with device,Varies with device
Wells Fargo Daily Change,FINANCE,4.2,283,5.0M,"100,000+",True,0.0,Everyone,Finance,2018-04-26,2.5.0.26,5.0 and up
"Prism Pay Bills, Track Money, Personal Finance",FINANCE,4.6,16961,32M,"500,000+",True,0.0,Everyone,Finance,2018-08-04,2.12.100,4.1 and up
Monefy - Money Manager,FINANCE,4.6,111254,7.4M,"1,000,000+",True,0.0,Everyone,Finance,2018-07-03,1.8.9,4.0 and up
Simple - Better Banking,FINANCE,4.4,7731,24M,"100,000+",True,0.0,Everyone,Finance,2018-08-02,2.53.2,5.0 and up
Chime - Mobile Banking,FINANCE,4.3,5928,22M,"500,000+",True,0.0,Everyone,Finance,2018-07-22,5.1.1,5.0 and up
Bluebird by American Express,FINANCE,4.2,15703,Varies with device,"1,000,000+",True,0.0,Everyone,Finance,2018-07-25,Varies with device,Varies with device
Walmart MoneyCard,FINANCE,4.2,6148,10M,"1,000,000+",True,0.0,Everyone,Finance,2018-06-01,1.14.1,4.1 and up
Moven - Smart Finances,FINANCE,3.8,861,17M,"100,000+",True,0.0,Everyone,Finance,2018-05-29,3.3.9,4.4 and up
Qapital - Save Small. Live Large,FINANCE,4.5,8662,38M,"100,000+",True,0.0,Everyone,Finance,2018-07-20,2.5.7,4.4 and up
Experian - Free Credit Report,FINANCE,4.6,23130,46M,"1,000,000+",True,0.0,Everyone,Finance,2018-07-12,2.1.4,4.2 and up
Branch,FINANCE,4.6,69973,3.8M,"1,000,000+",True,0.0,Everyone,Finance,2018-07-23,1.17.1,4.0 and up
"WalletHub - Free Credit Score, Report & Monitoring",FINANCE,4.7,1311,9.3M,"50,000+",True,0.0,Everyone,Finance,2018-06-19,1.4.11,4.4 and up
CreditWise from Capital One,FINANCE,4.6,26587,8.4M,"1,000,000+",True,0.0,Everyone,Finance,2018-07-19,1.18.0,4.4 and up
"NerdWallet: Personal Finance, Credit Score & Cash",FINANCE,4.6,2417,28M,"100,000+",True,0.0,Everyone,Finance,2018-08-03,3.5.0,4.4 and up
Credit Karma,FINANCE,4.7,706302,Varies with device,"10,000,000+",True,0.0,Everyone,Finance,2018-07-31,Varies with device,Varies with device
my face,FINANCE,3.8,1054,9.7M,"100,000+",True,0.0,Everyone,Finance,2018-07-10,2.3.0,5.0 and up
Credit Sesame,FINANCE,4.3,25166,11M,"1,000,000+",True,0.0,Everyone,Finance,2018-07-25,3.1.16,4.1 and up
"Mint: Budget, Bills, Finance",FINANCE,4.3,129304,Varies with device,"5,000,000+",True,0.0,Everyone,Finance,2018-08-02,Varies with device,Varies with device
Fresh EBT - Food Stamp Balance,FINANCE,4.5,19870,7.4M,"1,000,000+",True,0.0,Everyone,Finance,2018-07-24,2.9.5,4.0.3 and up
"Hurdlr: Track Mileage, Expenses, and Log Receipts",FINANCE,4.6,3596,19M,"100,000+",True,0.0,Everyone,Finance,2018-07-20,16.6,6.0 and up
Mobills: Budget Planner,FINANCE,4.6,161440,16M,"1,000,000+",True,0.0,Everyone,Finance,2018-08-03,3.2.18.07.30,4.0.3 and up
Everlance: Free Mileage Log,FINANCE,4.7,7514,14M,"100,000+",True,0.0,Everyone,Finance,2018-07-31,1.9.9.9.3,4.4 and up
MileIQ - Free Mileage Tracker for Business,FINANCE,4.5,46106,22M,"1,000,000+",True,0.0,Everyone,Finance,2018-07-31,1.28.0.5402,4.4 and up
QuickBooks Self-Employed:Mileage Tracker and Taxes,FINANCE,4.4,15141,25M,"1,000,000+",True,0.0,Everyone,Finance,2018-07-24,4.63,5.0 and up
FREE Stock Market Trading Tips,FINANCE,3.9,714,3.6M,"50,000+",True,0.0,Everyone,Finance,2017-06-07,2.10.3,2.3.3 and up
MetaTrader 5,FINANCE,4.5,42410,Varies with device,"1,000,000+",True,0.0,Everyone,Finance,2018-08-03,Varies with device,Varies with device
MetaTrader 4,FINANCE,4.6,260547,Varies with device,"5,000,000+",True,0.0,Everyone,Finance,2018-07-31,Varies with device,Varies with device
Stock Quote,FINANCE,4.1,4344,4.5M,"500,000+",True,0.0,Everyone,Finance,2018-07-30,3.6.2,4.0 and up
Seeking Alpha,FINANCE,4.5,22808,Varies with device,"1,000,000+",True,0.0,Everyone,Finance,2018-08-03,Varies with device,Varies with device
Stock Trainer: Virtual Trading (Stock Markets),FINANCE,4.4,42809,23M,"1,000,000+",True,0.0,Everyone,Finance,2018-07-27,3.04 - Beta,4.1 and up
Stocks: Realtime Quotes Charts,FINANCE,4.5,16808,Varies with device,"1,000,000+",True,0.0,Everyone,Finance,2018-05-01,Varies with device,Varies with device
"Stocks, Forex, Bitcoin, Ethereum: Portfolio & News",FINANCE,4.6,157505,Varies with device,"5,000,000+",True,0.0,Everyone,Finance,2018-08-01,Varies with device,Varies with device
CNBC: Breaking Business News & Live Market Data,FINANCE,4.2,24647,Varies with device,"1,000,000+",True,0.0,Everyone,Finance,2018-07-13,Varies with device,Varies with device
US Stock Market,FINANCE,4.4,1922,4.2M,"100,000+",True,0.0,Everyone,Finance,2018-08-01,1.28,2.3 and up
Bloomberg Professional,FINANCE,4.1,3334,Varies with device,"500,000+",True,0.0,Everyone,Finance,2018-07-23,Varies with device,Varies with device
E*TRADE Mobile,FINANCE,3.9,10658,58M,"1,000,000+",True,0.0,Everyone,Finance,2018-08-02,6.8.2,4.4 and up
"Robinhood - Investing, No Fees",FINANCE,4.6,57493,Varies with device,"1,000,000+",True,0.0,Everyone,Finance,2018-07-31,Varies with device,Varies with device
MSN Money- Stock Quotes & News,FINANCE,4.5,78361,22M,"1,000,000+",True,0.0,Everyone,Finance,2018-07-05,1.2.0,4.2 and up
Fox Business,FINANCE,3.7,2594,Varies with device,"500,000+",True,0.0,Everyone,Finance,2018-03-13,Varies with device,Varies with device
NSE Mobile Trading,FINANCE,4.1,13868,1.4M,"1,000,000+",True,0.0,Everyone,Finance,2017-08-03,1.1.16,2.1 and up
Yahoo Finance,FINANCE,4.4,135952,Varies with device,"5,000,000+",True,0.0,Everyone,Finance,2018-07-30,Varies with device,Varies with device
"JStock - Stock Market, Portfolio & News",FINANCE,4.6,11066,9.1M,"500,000+",True,0.0,Everyone,Finance,2018-07-18,1.1.39,4.0 and up
Digit Save Money Automatically,FINANCE,4.5,8188,22M,"100,000+",True,0.0,Everyone,Finance,2018-07-31,2.29.01,4.1 and up
Acorns - Invest Spare Change,FINANCE,4.3,45962,Varies with device,"1,000,000+",True,0.0,Everyone,Finance,2018-07-31,Varies with device,Varies with device
Webull - Stock Quotes & Free Stock Trading,FINANCE,4.3,34861,Varies with device,"1,000,000+",True,0.0,Everyone,Finance,2018-08-03,Varies with device,Varies with device
"Trading 212 - Forex, Stocks, CFDs",FINANCE,4.3,37580,Varies with device,"5,000,000+",True,0.0,Everyone,Finance,2018-08-01,4.5.2.1,4.4 and up
"Moneycontrol – Stocks, Sensex, Mutual Funds, IPO",FINANCE,4.4,281485,Varies with device,"5,000,000+",True,0.0,Everyone,Finance,2018-05-11,Varies with device,Varies with device
Current debit card and app made for teens,FINANCE,4.3,685,21M,"50,000+",True,0.0,Everyone,Finance,2018-08-03,3.0.22,4.4 and up
"Money Lover: Expense Tracker, Budget Planner",FINANCE,4.4,126447,Varies with device,"1,000,000+",True,0.0,Everyone,Finance,2018-08-01,Varies with device,Varies with device
"Mint: Budget, Bills, Finance",FINANCE,4.3,129304,Varies with device,"5,000,000+",True,0.0,Everyone,Finance,2018-08-02,Varies with device,Varies with device
Betterment,FINANCE,4.4,3780,11M,"100,000+",True,0.0,Everyone,Finance,2018-08-03,6.0.6,5.0 and up
Citizens Bank Mobile Banking,FINANCE,4.1,15192,38M,"1,000,000+",True,0.0,Everyone,Finance,2018-05-23,4.2.1,4.1 and up
GoBank,FINANCE,4.4,5950,12M,"500,000+",True,0.0,Everyone,Finance,2018-06-01,2.131,4.1 and up
NetSpend Prepaid,FINANCE,4.2,15993,45M,"1,000,000+",True,0.0,Everyone,Finance,2018-05-09,4.10.0,4.4 and up
BBVA Compass Banking,FINANCE,4.3,5905,50M,"500,000+",True,0.0,Everyone,Finance,2018-07-27,6.0.2,4.4 and up
Simple - Better Banking,FINANCE,4.4,7731,24M,"100,000+",True,0.0,Everyone,Finance,2018-08-02,2.53.2,5.0 and up
PayPal,FINANCE,4.3,659760,47M,"50,000,000+",True,0.0,Everyone,Finance,2018-07-18,6.28.0,4.4 and up
BankMobile Vibe App,FINANCE,4.3,14627,23M,"1,000,000+",True,0.0,Everyone,Finance,2018-07-09,5.1,4.1 and up
Netspend Skylight ONE,FINANCE,3.9,1098,46M,"100,000+",True,0.0,Everyone,Finance,2018-05-09,4.10.0,4.4 and up
ACE Elite,FINANCE,4.1,2898,45M,"100,000+",True,0.0,Everyone,Finance,2018-05-09,4.10.0,4.4 and up
U.S. Bank,FINANCE,4.1,70782,50M,"1,000,000+",True,0.0,Everyone,Finance,2018-07-25,2.34.29,4.0.3 and up
Huntington Mobile,FINANCE,4.2,11264,24M,"1,000,000+",True,0.0,Everyone,Finance,2018-06-26,5.2.203,4.2 and up
USAA Mobile,FINANCE,4.5,100997,33M,"5,000,000+",True,0.0,Everyone,Finance,2018-07-27,8.44.2,5.0 and up
Google Pay,FINANCE,4.2,347874,Varies with device,"100,000,000+",True,0.0,Everyone,Finance,2018-07-26,2.70.206190089,Varies with device
Associated Credit Union Mobile,FINANCE,4.7,3290,12M,"50,000+",True,0.0,Everyone,Finance,2018-05-30,5.9.1.0,5.0 and up
Bank of America Mobile Banking,FINANCE,4.4,341090,53M,"10,000,000+",True,0.0,Everyone,Finance,2018-07-31,7.8.8,4.4 and up
USE Credit Union Mobile,FINANCE,4.6,964,14M,"10,000+",True,0.0,Everyone,Finance,2018-06-12,5.9.1.0,5.0 and up
Discover Mobile,FINANCE,4.6,87951,68M,"5,000,000+",True,0.0,Everyone,Finance,2018-07-23,9.7.0,4.1 and up
Wells Fargo Mobile,FINANCE,4.4,250719,37M,"10,000,000+",True,0.0,Everyone,Finance,2018-07-31,6.8.0.109,5.0 and up
Capital One® Mobile,FINANCE,4.6,510401,79M,"10,000,000+",True,0.0,Everyone,Finance,2018-08-01,5.38.1,5.0 and up
Amex Mobile,FINANCE,4.3,24729,32M,"1,000,000+",True,0.0,Everyone,Finance,2018-08-03,6.7.0,5.0 and up
Citi Mobile®,FINANCE,4.0,78306,46M,"5,000,000+",True,0.0,Everyone,Finance,2018-07-31,9.9.0,4.4 and up
Navy Federal Credit Union,FINANCE,4.4,43313,40M,"1,000,000+",True,0.0,Everyone,Finance,2018-07-09,5.16.2,4.1 and up
Chase Mobile,FINANCE,4.6,1374549,32M,"10,000,000+",True,0.0,Everyone,Finance,2018-07-23,3.52,5.0 and up
HDFC Bank MobileBanking,FINANCE,4.2,208463,Varies with device,"10,000,000+",True,0.0,Everyone,Finance,2018-07-26,Varies with device,Varies with device
Barclays US for Android,FINANCE,4.1,6998,24M,"1,000,000+",True,0.0,Everyone,Finance,2018-08-01,6.29.37589,5.0 and up
McDonald's,FOOD_AND_DRINK,3.6,145323,42M,"10,000,000+",True,0.0,Everyone,Food & Drink,2018-07-31,5.15.0,4.4 and up
Easy and Fast Recipes,FOOD_AND_DRINK,nan,95,12M,"50,000+",True,0.0,Everyone,Food & Drink,2018-01-06,3.0.1,2.3 and up
Cookpad - FREE recipe search makes fun cooking · musical making!,FOOD_AND_DRINK,4.1,64784,13M,"10,000,000+",True,0.0,Everyone,Food & Drink,2018-08-02,18.6.0.10,5.0 and up
DELISH KITCHEN - FREE recipe movies make food fun and easy!,FOOD_AND_DRINK,4.6,32997,13M,"1,000,000+",True,0.0,Everyone,Food & Drink,2018-08-04,2.2.7,4.1 and up
Sumine side dish - dish recipe side dish,FOOD_AND_DRINK,nan,82,4.9M,"10,000+",True,0.0,Everyone,Food & Drink,2018-06-23,1.1,4.1 and up
Easy Recipes,FOOD_AND_DRINK,4.7,2707,8.9M,"100,000+",True,0.0,Everyone,Food & Drink,2018-05-15,2.12,4.0.3 and up
Delicious Recipes,FOOD_AND_DRINK,4.7,129737,Varies with device,"1,000,000+",True,0.0,Teen,Food & Drink,2018-08-03,Varies with device,Varies with device
Tastely,FOOD_AND_DRINK,4.7,611136,19M,"10,000,000+",True,0.0,Everyone,Food & Drink,2018-07-13,3.2.0d,4.0.3 and up
Pastry & Cooking (Without Net),FOOD_AND_DRINK,4.7,6118,Varies with device,"1,000,000+",True,0.0,Everyone,Food & Drink,2018-07-07,Varies with device,Varies with device
Frigo Magic: Easy recipe idea and anti-waste,FOOD_AND_DRINK,4.1,2473,14M,"500,000+",True,0.0,Everyone,Food & Drink,2018-07-28,3.1.5,4.4 and up
McDonald's - McDonald's Japan,FOOD_AND_DRINK,3.4,109784,64M,"10,000,000+",True,0.0,Everyone,Food & Drink,2018-08-03,4.0.30,4.0.3 and up
Debonairs Pizza,FOOD_AND_DRINK,3.8,3320,8.4M,"500,000+",True,0.0,Everyone,Food & Drink,2018-08-04,1.9.117,4.0.3 and up
Popeyes® App,FOOD_AND_DRINK,3.7,61,11M,"50,000+",True,0.0,Everyone,Food & Drink,2018-07-23,1.0.2,4.1 and up
Dunkin' Donuts,FOOD_AND_DRINK,4.2,68103,66M,"1,000,000+",True,0.0,Everyone,Food & Drink,2018-06-20,5.0.0,4.4 and up
Pyaterochka,FOOD_AND_DRINK,3.1,8412,Varies with device,"1,000,000+",True,0.0,Everyone,Food & Drink,2018-07-19,Varies with device,4.4 and up
Refreshing app Free application that can use deal coupons,FOOD_AND_DRINK,3.5,10741,41M,"1,000,000+",True,0.0,Everyone,Food & Drink,2018-07-23,5.2.2,4.2 and up
