a,b,c,d,e,f,g,h,i,j,k,l,m
AE Angry Chef,GAME,4.1,533,39M,"10,000+",True,0.0,Everyone 10+,Action,2014-01-24,1.0,2.1 and up
Ae Allah na Dai (Rasa),BOOKS_AND_REFERENCE,4.7,263,9.1M,"10,000+",True,0.0,Everyone,Books & Reference,2015-01-01,2.0,2.1 and up
Dashboard AE,AUTO_AND_VEHICLES,nan,0,13M,10+,True,0.0,Everyone,Auto & Vehicles,2018-05-16,1255162018,6.0 and up
FilmoraGo - Free Video Editor,VIDEO_PLAYERS,4.4,238459,35M,"10,000,000+",True,0.0,Everyone,Video Players & Editors,2018-06-06,3.1.4,4.2 and up
Event Manager - AllEvents.in,EVENTS,4.7,120,5.1M,"10,000+",True,0.0,Everyone,Events,2018-07-25,2.5,4.0.3 and up
Nasihat - Chalo ae Pyaara,FAMILY,4.7,557,6.7M,"10,000+",True,0.0,Everyone,Education,2015-10-09,1.0,2.1 and up
AE Master Moto,GAME,4.0,17876,37M,"1,000,000+",True,0.0,Everyone,Racing,2015-12-10,1.8.6,2.3 and up
Brica BPRO5 AE,PHOTOGRAPHY,3.9,4726,3.9M,"500,000+",True,0.0,Everyone,Photography,2015-06-17,v1.0,3.1 and up
AE Manager,TOOLS,nan,0,4.0M,100+,True,0.0,Everyone,Tools,2015-06-15,1.0.0,4.0.3 and up
AE Air Hockey,SPORTS,3.8,926,7.6M,"50,000+",True,0.0,Everyone,Sports,2013-08-01,1.0.0,2.2 and up
Connect.ae - Local Search UAE,TRAVEL_AND_LOCAL,3.9,194,Varies with device,"10,000+",True,0.0,Everyone,Travel & Local,2018-04-05,Varies with device,Varies with device
AE Fishing Hunter,GAME,4.4,14,6.6M,"1,000+",True,0.0,Everyone,Adventure,2016-03-15,0.0.3,3.0 and up
ActionDirector Video Editor - Edit Videos Fast,VIDEO_PLAYERS,4.5,74531,32M,"5,000,000+",True,0.0,Everyone,Video Players & Editors,2018-06-15,2.12.0,4.3 and up
Ivanti AE Agent,BUSINESS,nan,1,2.9M,"1,000+",True,0.0,Everyone,Business,2018-05-10,11.0.0,4.0.3 and up
AE Checkout Plugin,SHOPPING,3.8,208,78k,"10,000+",True,0.0,Everyone,Shopping,2015-02-11,1.3.1,2.3 and up
NewTek NDI,PHOTOGRAPHY,3.5,77,1.2M,"1,000+",False,19.99,Everyone,Photography,2016-10-26,1.1,4.1 and up
AfterFocus,PHOTOGRAPHY,4.2,165224,15M,"10,000,000+",True,0.0,Everyone,Photography,2016-07-08,2.1.0,4.0.3 and up
AF Link,NEWS_AND_MAGAZINES,4.7,210,18M,"10,000+",True,0.0,Everyone,News & Magazines,2018-05-31,v4.29.0.9,4.4 and up
AF Hydro,HEALTH_AND_FITNESS,2.0,136,15M,"10,000+",True,0.0,Everyone,Health & Fitness,2018-05-12,1.0.5,4.4 and up
Gunship III Vietnam People AF,FAMILY,4.3,726,19M,"5,000+",False,4.99,Everyone,Simulation,2016-12-09,3.8.4,2.3.3 and up
AF Comics Reader - Free,COMICS,2.8,5,4.1M,100+,True,0.0,Everyone,Comics,2017-11-10,1.0,4.1 and up
Camera FV-5 Lite,PHOTOGRAPHY,4.0,130063,5.6M,"10,000,000+",True,0.0,Everyone,Photography,2017-11-10,3.31.4,4.0 and up
Flim Af Somali Hindi Fanproj,FAMILY,3.9,12,3.5M,"1,000+",True,0.0,Everyone,Entertainment,2018-06-22,1.0,4.0 and up
"Cardiac diagnosis (heart rate, arrhythmia)",MEDICAL,4.2,4559,6.4M,"100,000+",True,0.0,Everyone,Medical,2018-07-27,117,3.0 and up
DSLR camera - Auto Focus and Blur Professional,PHOTOGRAPHY,3.4,30,3.0M,"10,000+",True,0.0,Everyone,Photography,2018-04-18,5.1.2,4.0.3 and up
AF-STROKE (FREE),MEDICAL,4.5,93,924k,"10,000+",True,0.0,Teen,Medical,2013-01-25,1.1,2.1 and up
Hesab.af - Send money in Afghanistan,FINANCE,4.7,51,11M,"1,000+",True,0.0,Everyone,Finance,2018-04-15,1.4.0,4.1 and up
AppFinder by AppTap,TOOLS,2.0,2221,4.9M,"5,000,000+",True,0.0,Everyone,Tools,2017-10-03,1.8.2.7,5.0 and up
iFunny :),FAMILY,4.4,503757,Varies with device,"10,000,000+",True,0.0,Mature 17+,Entertainment,2018-08-02,Varies with device,Varies with device
Toppen af Danmark,TRAVEL_AND_LOCAL,nan,8,6.1M,"5,000+",True,0.0,Everyone,Travel & Local,2018-06-28,8.3.0,4.4 and up
AF-STROKE,MEDICAL,nan,5,902k,100+,False,5.0,Teen,Medical,2013-12-19,1.3,2.1 and up
i-share AF/KLM (AFKL ishare),SOCIAL,nan,2,53M,100+,True,0.0,Teen,Social,2018-07-21,1.16.5,4.1 and up
Bazar.af,SHOPPING,4.7,13,1.3M,500+,True,0.0,Everyone,Shopping,2017-07-07,cli-6.5.0,4.0 and up
DSLR Blur Camera Auto Focus,TOOLS,3.3,75,4.7M,"10,000+",True,0.0,Everyone,Tools,2018-06-07,1.3,4.0.3 and up
Ariana News AF,NEWS_AND_MAGAZINES,4.1,20,3.1M,"5,000+",True,0.0,Everyone,News & Magazines,2017-07-10,1.1,4.0 and up
AF Legendary 2017,BUSINESS,nan,0,11M,50+,True,0.0,Teen,Business,2017-09-30,v2.7.11.6,4.1 and up
AR effect,PHOTOGRAPHY,4.2,79792,Varies with device,"100,000,000+",True,0.0,Everyone,Photography,2018-08-03,Varies with device,Varies with device
ASUS PixelMaster Camera,PHOTOGRAPHY,4.4,626366,Varies with device,"10,000,000+",True,0.0,Everyone,Photography,2016-06-29,Varies with device,Varies with device
AzadBazar.af,SHOPPING,nan,3,3.7M,100+,True,0.0,Everyone,Shopping,2018-03-09,1.0,4.0 and up
easyFocus,PHOTOGRAPHY,3.7,3396,266k,"500,000+",True,0.0,Everyone,Photography,2012-11-28,1.2.0,2.2 and up
AF Nutrition - Integratori,HEALTH_AND_FITNESS,nan,6,19M,100+,True,0.0,Everyone,Health & Fitness,2018-08-02,1.3,4.1 and up
Open Camera,PHOTOGRAPHY,4.3,116769,2.0M,"10,000,000+",True,0.0,Everyone,Photography,2018-04-23,1.43.3,4.0.3 and up
Blur Image - DSLR focus effect,PHOTOGRAPHY,3.9,38055,4.1M,"5,000,000+",True,0.0,Everyone,Photography,2017-06-16,1.17,4.0 and up
Tafsiir Quraan MP3 Af Soomaali Quraanka Kariimka,LIFESTYLE,5.0,7,3.4M,"1,000+",True,0.0,Everyone,Lifestyle,2018-06-09,1.4,4.0 and up
Camera Pro,PHOTOGRAPHY,4.1,7479,13M,"1,000,000+",True,0.0,Everyone,Photography,2018-04-16,5.4,4.0 and up
Rоhi.af,NEWS_AND_MAGAZINES,4.8,46,46M,"1,000+",True,0.0,Everyone,News & Magazines,2017-05-01,1.0.1,4.1 and up
HD Camera - silent shutter,PHOTOGRAPHY,4.0,26530,3.9M,"1,000,000+",True,0.0,Everyone,Photography,2018-07-23,2.3.5,3.2 and up
AF Our Time to Shine,BUSINESS,nan,0,11M,100+,True,0.0,Everyone,Business,2017-07-17,v2.7.10.6,4.1 and up
A Better Camera,PHOTOGRAPHY,4.1,76484,Varies with device,"5,000,000+",True,0.0,Everyone,Photography,2018-06-08,3.52,4.0 and up
Auto Dslr Photo Effect : Auto Focus Effect,PHOTOGRAPHY,3.8,6,3.5M,"1,000+",True,0.0,Everyone,Photography,2018-02-20,1.6,4.0.3 and up
"9GAG: Funny Gifs, Pics, Memes & Videos for IGTV",FAMILY,4.6,1450632,Varies with device,"10,000,000+",True,0.0,Teen,Entertainment,2018-08-03,Varies with device,Varies with device
AF Johannesburg,FAMILY,nan,3,11M,100+,True,0.0,Everyone,Education,2017-05-02,1.0.3,4.1 and up
PhotoScan by Google Photos,PHOTOGRAPHY,4.3,61990,Varies with device,"10,000,000+",True,0.0,Everyone,Photography,2018-02-09,1.5.1.182070924,5.0 and up
Gun Strike Shoot,GAME,4.1,94761,17M,"10,000,000+",True,0.0,Teen,Action,2017-02-21,1.1.4,2.3 and up
All Football - Latest News & Videos,SPORTS,4.6,152653,17M,"10,000,000+",True,0.0,Everyone,Sports,2018-08-03,3.0.5,4.1 and up
50000 Free eBooks & Free AudioBooks,BOOKS_AND_REFERENCE,4.1,52312,11M,"5,000,000+",True,0.0,Teen,Books & Reference,2018-05-19,5.3.4,4.4 and up
AppLock,TOOLS,4.4,4931562,Varies with device,"100,000,000+",True,0.0,Everyone,Tools,2018-06-11,Varies with device,Varies with device
King of Avalon: Dragon Warfare,FAMILY,4.2,306652,64M,"10,000,000+",True,0.0,Everyone 10+,Strategy,2018-07-31,4.6.4,4.0.3 and up
What's Up,LIFESTYLE,4.1,23453,10M,"1,000,000+",True,0.0,Everyone,Lifestyle,2017-10-26,2.0,4.0 and up
Afterlight,PHOTOGRAPHY,4.3,50893,35M,"1,000,000+",True,0.0,Everyone,Photography,2014-11-20,1.0.6,4.0.3 and up
Blurfoto : Auto blur photo background & DSLR focus,PHOTOGRAPHY,4.3,2215,12M,"500,000+",True,0.0,Everyone,Photography,2018-07-27,1.12,4.3 and up
Blur,PHOTOGRAPHY,4.0,9013,2.4M,"1,000,000+",True,0.0,Everyone,Photography,2018-06-18,4.0.2,4.4 and up
"AG Contacts, Premium edition",COMMUNICATION,4.5,88,3.7M,500+,False,4.99,Everyone,Communication,2018-05-18,8.05.18.14250,4.0.3 and up
Ag PhD Field Guide,BOOKS_AND_REFERENCE,4.1,114,6.3M,"10,000+",True,0.0,Everyone,Books & Reference,2015-05-25,2.0,2.3 and up
AG Drive 3D,GAME,3.8,164,22M,"10,000+",True,0.0,Everyone,Adventure,2015-03-20,1.0.1,2.3.3 and up
Apps for SportsBєtting.ag - Bitcoin Welcome here!,SPORTS,nan,0,10.0M,"1,000+",True,0.0,Everyone,Sports,2017-12-11,1.0,4.0 and up
"AG Contacts, Lite edition",COMMUNICATION,4.5,185,3.7M,"5,000+",True,0.0,Everyone,Communication,2018-05-18,8.05.18.14250,4.0.3 and up
Ag Weather Tools,WEATHER,nan,0,4.6M,500+,True,0.0,Everyone,Weather,2018-01-09,1.0.1,5.0 and up
Trimble Ag Mobile,PRODUCTIVITY,4.1,85,44M,"10,000+",True,0.0,Everyone,Productivity,2018-08-02,2.7.8,4.1 and up
Ag Tools,TOOLS,nan,2,18M,"1,000+",True,0.0,Everyone,Tools,2017-09-27,1.0,4.0.3 and up
Ag PhD Deficiencies,BOOKS_AND_REFERENCE,3.9,20,9.7M,"10,000+",True,0.0,Everyone,Books & Reference,2016-06-21,1.0,4.0.3 and up
AG Screen Recorder,TOOLS,3.7,7,2.7M,"1,000+",True,0.0,Everyone,Tools,2018-04-03,3.0,5.0 and up
SOLEM AG,TOOLS,nan,1,51M,"1,000+",True,0.0,Everyone,Tools,2017-09-19,1.0.2,4.0 and up
AG Subway Simulator Mobile,FAMILY,4.5,623,47M,"5,000+",False,0.99,Everyone,Simulation,2018-06-02,1.3.0.6,4.1 and up
AG Subway Simulator Lite,FAMILY,4.4,6738,56M,"100,000+",True,0.0,Everyone,Simulation,2018-06-08,1.2.6,4.1 and up
Elim AG,LIFESTYLE,nan,7,Varies with device,100+,True,0.0,Everyone,Lifestyle,2017-03-31,1.0,4.2 and up
EZ Ag Mobile,FINANCE,3.4,19,24M,"5,000+",True,0.0,Everyone,Finance,2017-08-12,9.0.00,3.0 and up
AG Subway Simulator Pro,FAMILY,nan,0,Varies with device,"1,000+",True,0.0,Everyone,Simulation,2018-07-27,Varies with device,Varies with device
BRL AG,TOOLS,nan,0,52M,100+,True,0.0,Everyone,Tools,2017-09-19,1.0.1,4.0 and up
Oklahoma Ag Co-op Council,COMMUNICATION,nan,0,4.9M,10+,True,0.0,Everyone,Communication,2018-07-23,2.2.3,4.0.3 and up
AG Fast Service Automotive,AUTO_AND_VEHICLES,nan,5,1.7M,100+,True,0.0,Everyone,Auto & Vehicles,2018-06-12,1.0.8,4.4 and up
Ag PhD Soils,PRODUCTIVITY,2.3,3,16M,"1,000+",True,0.0,Everyone,Productivity,2018-07-16,1.24.1,4.4 and up
All States Ag Parts,SHOPPING,4.7,68,6.5M,"10,000+",True,0.0,Everyone,Shopping,2018-01-25,5.26.0,5.0 and up
VR AG Racing for Cardboard,GAME,3.4,13,27M,"1,000+",True,0.0,Everyone,Racing,2016-09-29,1.1,4.1 and up
Safe Ag Systems™,BUSINESS,4.7,3,36M,100+,True,0.0,Everyone,Business,2018-07-22,2.0.3,4.0.3 and up
Ag PhD Planting Population Calculator,BOOKS_AND_REFERENCE,nan,0,5.2M,"1,000+",True,0.0,Everyone,Books & Reference,2017-06-09,2.0,4.0.3 and up
Ag Trucking Mobile App,PRODUCTIVITY,nan,0,43M,100+,True,0.0,Everyone,Productivity,2017-05-17,8.0,4.0.3 and up
Lakeside AG Moultrie,LIFESTYLE,5.0,3,8.6M,50+,True,0.0,Everyone,Lifestyle,2017-05-23,1.0,4.1 and up
Ag Guardian,PRODUCTIVITY,nan,1,2.0M,100+,True,0.0,Everyone,Productivity,2015-12-28,1.0.0,4.0 and up
Wind & Weather Meter for Ag,WEATHER,nan,3,14M,"1,000+",True,0.0,Everyone,Weather,2016-03-14,v1.0,4.3 and up
Ag Across America,FAMILY,nan,0,15M,10+,True,0.0,Everyone,Educational;Education,2018-05-15,1.0.0,4.1 and up
Border Ag & Energy,BUSINESS,nan,0,12M,50+,True,0.0,Everyone,Business,2018-04-30,2.1,4.3 and up
Ag-Pro Companies,BUSINESS,nan,0,45M,50+,True,0.0,Everyone,Business,2018-03-06,2.3.0,4.4 and up
My Ag Report,PRODUCTIVITY,nan,1,3.2M,50+,True,0.0,Everyone,Productivity,2018-06-18,1.2,5.1 and up
Alabama Ag Credit Ag Banking,FINANCE,nan,0,Varies with device,100+,True,0.0,Everyone,Finance,2018-02-09,5.3.4,4.4 and up
AG EMS Tour,FAMILY,nan,3,62M,500+,True,0.0,Everyone,Entertainment,2017-05-05,1.35,4.0 and up
Mix Tank – Tank Mixing Ag App,PRODUCTIVITY,3.6,64,15M,"10,000+",True,0.0,Everyone,Productivity,2017-10-16,4.2,4.4 and up
Eternal Light AG,SOCIAL,5.0,30,13M,100+,True,0.0,Teen,Social,2018-05-19,1.04,4.0.3 and up
AG test,TOOLS,nan,3,18M,100+,True,0.0,Everyone,Tools,2017-10-18,1.0.2,4.1 and up
West Central Ag,BUSINESS,nan,3,1.7M,100+,True,0.0,Everyone,Business,2017-01-16,1.2,4.0 and up
Platincoin Wallet - PLC Group AG,LIBRARIES_AND_DEMO,4.3,375,15M,"10,000+",True,0.0,Everyone,Libraries & Demo,2018-06-01,2.0.1,4.0.3 and up
Tri-Ag (WV) FCU,FINANCE,nan,0,2.9M,100+,True,0.0,Everyone,Finance,2018-07-03,3.1.10,4.1 and up
Ag PhD Soybean Diseases,BOOKS_AND_REFERENCE,nan,0,5.9M,"1,000+",True,0.0,Everyone,Books & Reference,2017-05-08,1.0.3,4.0.3 and up
United Ag Cooperative,BUSINESS,nan,0,4.2M,5+,True,0.0,Everyone,Business,2018-04-27,30.0.0,4.4 and up
Ag Valley Cooperative,BUSINESS,5.0,6,74M,500+,True,0.0,Everyone,Business,2017-06-26,2.3,4.0 and up
Michael's AG Sound Board,FAMILY,nan,0,1.7M,1+,False,0.99,Everyone,Entertainment,2017-12-12,1.1,1.6 and up
Ag-Power,BUSINESS,nan,0,47M,10+,True,0.0,Everyone,Business,2018-07-13,2.4.3,4.4 and up
Fertilizer Removal By Crop,BOOKS_AND_REFERENCE,4.1,295,6.9M,"50,000+",True,0.0,Everyone,Books & Reference,2017-06-20,2.0.3,4.0.3 and up
AG Track,TOOLS,4.1,12,8.7M,100+,True,0.0,Everyone,Tools,2018-03-23,3.3,4.0 and up
Denis Brogniart - AH !,FAMILY,4.5,2931,818k,"100,000+",True,0.0,Everyone,Entertainment,2017-08-04,1.1,4.2 and up
Freeland AH,MEDICAL,nan,0,28M,100+,True,0.0,Everyone,Medical,2017-12-18,300000.0.95,4.0.3 and up
MD PAWS AH,MEDICAL,nan,0,29M,100+,True,0.0,Everyone,Medical,2018-02-23,300000.0.98,4.0.3 and up
AH Connect (Adventist Health),HEALTH_AND_FITNESS,3.4,5,59M,"1,000+",True,0.0,Everyone,Health & Fitness,2018-01-23,3.5.1,4.4 and up
Woodland AH,MEDICAL,nan,0,Varies with device,50+,True,0.0,Everyone,Medical,2018-02-02,300000.0.97,4.0.3 and up
Mukwonago AH,MEDICAL,nan,1,29M,100+,True,0.0,Everyone,Medical,2017-06-29,300000.0.85,4.0.3 and up
Angelcare AH,MEDICAL,nan,0,29M,50+,True,0.0,Everyone,Medical,2017-10-06,300000.0.91,4.0.3 and up
WoW AH Tracker,TOOLS,2.9,33,Varies with device,"10,000+",True,0.0,Everyone,Tools,2018-07-23,Varies with device,Varies with device
AH Kollection for KLWP,PERSONALIZATION,4.6,644,59M,"50,000+",True,0.0,Everyone,Personalization,2017-04-30,Version 1.20,4.4 and up
Chenoweth AH,MEDICAL,5.0,1,27M,100+,True,0.0,Everyone,Medical,2017-04-03,300000.0.78,4.0.3 and up
Sayers AH,MEDICAL,nan,0,29M,50+,True,0.0,Everyone,Medical,2018-01-17,300000.0.97,4.0.3 and up
Claus Paws AH,MEDICAL,nan,1,29M,100+,True,0.0,Everyone,Medical,2017-12-08,300000.0.94,4.0.3 and up
Denis Brogniart - AH 2 !,FAMILY,nan,4,14M,100+,True,0.0,Everyone,Entertainment,2017-10-28,1.0,2.1 and up
Ah! Cutie,FAMILY,3.9,536,10M,"10,000+",True,0.0,Everyone,Casual,2017-06-27,2.0.0,4.0 and up
AH Alarm Panel,TOOLS,3.9,7,81k,100+,False,4.99,Everyone,Tools,2011-05-12,1.2.0,1.5 and up
Arrowhead AH App,MEDICAL,5.0,3,28M,100+,True,0.0,Everyone,Medical,2017-04-21,300000.0.80,4.0.3 and up
Ah! Monster,FAMILY,4.1,1998,9.8M,"100,000+",True,0.0,Everyone,Casual,2017-06-21,4.0.0,4.0 and up
Maricopa AH,MEDICAL,nan,0,29M,100+,True,0.0,Everyone,Medical,2018-07-16,300000.1.11,4.0.3 and up
Kimbrough AH,MEDICAL,5.0,5,28M,100+,True,0.0,Everyone,Medical,2017-09-21,300000.0.90,4.0.3 and up
The Ah Yeah! Button,FAMILY,3.0,30,318k,"5,000+",True,0.0,Everyone,Entertainment,2013-10-01,1.2,2.3 and up
Bee'ah Employee App,COMMUNICATION,4.0,4,5.4M,100+,True,0.0,Teen,Communication,2017-12-24,2.26.5.0,5.0 and up
Clarksburg AH,MEDICAL,1.0,1,28M,50+,True,0.0,Everyone,Medical,2017-05-01,300000.0.81,4.0.3 and up
WAH AH,MEDICAL,nan,0,29M,100+,True,0.0,Everyone,Medical,2017-05-03,300000.0.80,4.0.3 and up
Prestige AH,MEDICAL,4.0,2,29M,100+,True,0.0,Everyone,Medical,2017-05-11,300000.0.81,4.0.3 and up
San Dimas AH,MEDICAL,nan,0,29M,100+,True,0.0,Everyone,Medical,2018-02-18,300000.0.97,4.0.3 and up
Ah Bailar,FAMILY,nan,10,3.0M,100+,True,0.0,Everyone,Entertainment,2018-04-14,1.0,5.0 and up
Ebenezer AH,MEDICAL,4.0,4,27M,500+,True,0.0,Everyone,Medical,2017-05-05,300000.0.79,4.0.3 and up
Boston AH,MEDICAL,nan,1,29M,50+,True,0.0,Everyone,Medical,2017-11-30,300000.0.93,4.0.3 and up
AH-1 Viper Cobra Ops - helicopter flight simulator,GAME,3.8,1088,86M,"100,000+",True,0.0,Teen,Action,2018-02-16,1.0.1,4.3 and up
Ah !,FAMILY,nan,3,22M,50+,True,0.0,Everyone,Entertainment,2017-12-27,1.1.2,5.0 and up
Kay AH GA,MEDICAL,nan,0,29M,1+,True,0.0,Everyone,Medical,2018-02-15,300000.0.97,4.0.3 and up
Bayview Hill AH,MEDICAL,nan,0,29M,50+,True,0.0,Everyone,Medical,2018-06-06,300000.1.08,4.0.3 and up
Hilltop AH,MEDICAL,nan,0,29M,100+,True,0.0,Everyone,Medical,2018-01-10,300000.0.96,4.0.3 and up
Ah Ha Block,FAMILY,nan,2,16M,100+,True,0.0,Everyone,Casual,2017-07-09,1.0,4.0 and up
AH Lake Villa,MEDICAL,nan,3,27M,100+,True,0.0,Everyone,Medical,2017-04-22,300000.0.78,4.0.3 and up
Ferguson AH,MEDICAL,nan,0,29M,100+,True,0.0,Everyone,Medical,2017-07-17,300000.0.86,4.0.3 and up
be'ah,HEALTH_AND_FITNESS,nan,5,5.7M,10+,True,0.0,Everyone,Health & Fitness,2018-03-28,1.0,2.3 and up
Ah! Bird,SPORTS,3.5,1689,5.7M,"100,000+",True,0.0,Everyone,Sports,2017-08-29,1.5.062,4.3 and up
Downers Grove AH,MEDICAL,nan,0,29M,100+,True,0.0,Everyone,Medical,2018-01-10,300000.0.96,4.0.3 and up
AH! Soundboard,FAMILY,nan,11,2.0M,100+,True,0.0,Everyone,Entertainment,2017-09-21,1.1,4.1 and up
Sherbourne AH,MEDICAL,nan,1,29M,50+,True,0.0,Everyone,Medical,2018-02-27,300000.0.98,4.0.3 and up
Cathy AH,TOOLS,nan,0,20M,1+,True,0.0,Everyone,Tools,2018-07-16,1.0.4,4.1 and up
Monticello AH,MEDICAL,nan,0,28M,50+,True,0.0,Everyone,Medical,2017-05-26,300000.0.84,4.0.3 and up
Brandon Lakes AH,MEDICAL,2.6,5,27M,100+,True,0.0,Everyone,Medical,2017-05-05,300000.0.79,4.0.3 and up
Forest Crossing AH,MEDICAL,nan,0,29M,10+,True,0.0,Everyone,Medical,2018-04-12,300000.1.01,4.0.3 and up
Ah! Coins,GAME,3.4,256,9.1M,"50,000+",True,0.0,Everyone,Action,2016-12-08,1.0.0,2.3 and up
Mitchell AH,MEDICAL,nan,0,29M,50+,True,0.0,Everyone,Medical,2018-05-23,300000.1.08,4.0.3 and up
AH of Rocky Hill,MEDICAL,nan,0,29M,100+,True,0.0,Everyone,Medical,2017-11-24,300000.0.93,4.0.3 and up
Replika,FAMILY,4.5,45458,35M,"1,000,000+",True,0.0,Mature 17+,Entertainment,2018-08-03,1.5.49,4.4 and up
Ai illustrator viewer,ART_AND_DESIGN,3.4,486,5.9M,"100,000+",True,0.0,Everyone,Art & Design,2018-07-26,5.7,5.0 and up
Real AI,FAMILY,3.8,949,1.2M,"50,000+",True,0.0,Everyone,Entertainment,2018-07-22,4.9,4.0 and up
The Artificial Intelligence Project (A.I. Chat),FAMILY,3.0,76,39M,"5,000+",False,1.99,Everyone,Simulation,2018-03-29,1.2,2.3 and up
Virtual Assistant DataBot: Artificial Intelligence,FAMILY,4.4,80927,27M,"1,000,000+",True,0.0,Everyone,Entertainment,2018-07-31,7.2.5,4.0 and up
ALPHA - Artificial Intelligence,FAMILY,4.0,51,3.2M,"1,000+",True,0.0,Everyone,Entertainment,2018-06-03,1.3.4,4.0 and up
Artificial Intelligence,FAMILY,3.9,339,4.2M,"50,000+",True,0.0,Everyone,Education,2018-04-05,6.2,4.0 and up
Orbita AI — Exciting mobile puzzles & riddles,FAMILY,4.6,116973,31M,"1,000,000+",True,0.0,Everyone,Puzzle,2018-03-29,1.1.9.1,4.1 and up
SMS AI Bot,TOOLS,3.8,89,3.9M,"10,000+",True,0.0,Everyone,Tools,2018-07-01,3.0.4,4.1 and up
ChatBot AI Talking Girl,FAMILY,3.8,3597,25M,"100,000+",True,0.0,Everyone 10+,Entertainment,2018-07-31,1.0.16,4.0.3 and up
Ai File Viewer,TOOLS,4.0,66,Varies with device,"10,000+",True,0.0,Everyone,Tools,2018-07-07,Varies with device,Varies with device
Youper - AI Therapy,MEDICAL,4.6,1976,69M,"50,000+",True,0.0,Everyone,Medical,2018-08-03,6.02.000,6.0 and up
ParaTek Ai Speech generator,TOOLS,3.6,448,4.3M,"50,000+",True,0.0,Everyone,Tools,2017-03-23,1.9,1.6 and up
Extreme- Personal Voice Assistant,PRODUCTIVITY,4.4,25627,9.8M,"1,000,000+",True,0.0,Everyone,Productivity,2018-08-05,132,5.0 and up
AI Face Beauty Analysis - IntelliFace (Free),BEAUTY,3.1,40,13M,"10,000+",True,0.0,Everyone,Beauty,2018-04-11,20,4.1 and up
Robin - AI Voice Assistant,MAPS_AND_NAVIGATION,4.2,55313,16M,"1,000,000+",True,0.0,Everyone,Maps & Navigation,2018-08-05,4.435,4.1 and up
Learn Artificial Intelligence,FAMILY,4.6,27,4.2M,"10,000+",True,0.0,Everyone,Education,2018-07-14,1.1.4,4.1 and up
AI Benchmark,TOOLS,4.0,97,99M,"5,000+",True,0.0,Everyone,Tools,2018-06-29,2.0.0,4.1 and up
