a,b,c,d,e,f,g,h,i,j,k,l,m
Bike Race Free - Top Motorcycle Racing Games,GAME,4.5,2586261,Varies with device,"100,000,000+",True,0.0,Everyone,Racing,2018-07-31,7.7.9,4.2 and up
Dance School Stories - Dance Dreams Come True,FAMILY,4.4,91171,36M,"1,000,000+",True,0.0,Everyone,Role Playing,2018-08-03,1.0.8,4.1 and up
3D Bowling,SPORTS,4.1,1076243,13M,"100,000,000+",True,0.0,Everyone,Sports,2018-01-18,3.1,2.0.1 and up
Plants vs. Zombies FREE,FAMILY,4.4,4064868,69M,"100,000,000+",True,0.0,Everyone 10+,Strategy,2018-07-06,2.2.00,4.1 and up
Dream League Soccer 2018,SPORTS,4.6,9873470,74M,"100,000,000+",True,0.0,Everyone,Sports,2018-07-16,5.064,4.4 and up
Mind Games Pro,FAMILY,4.6,15301,18M,"100,000+",False,2.99,Everyone,Puzzle;Brain Games,2018-07-18,3.0.5,2.3 and up
Z Ringtones PREMIUM 2018,PERSONALIZATION,4.5,10158,3.6M,"500,000+",True,0.0,Everyone,Personalization,2018-03-01,1.5,4.0.3 and up
Smash Hit,GAME,4.5,4147718,79M,"100,000,000+",True,0.0,Everyone,Arcade,2015-11-26,1.4.0,2.3 and up
Bad Piggies,FAMILY,4.3,1168959,66M,"50,000,000+",True,0.0,Everyone,Puzzle,2017-05-03,2.3.3,4.1 and up
Temple Run,GAME,4.3,4000433,42M,"100,000,000+",True,0.0,Everyone,Arcade,2018-08-02,1.9.1,4.0 and up
Broken Screen Prank,FAMILY,3.3,23682,9.8M,"1,000,000+",True,0.0,Teen,Casual,2018-06-14,6.2,4.0 and up
Screen Lock - with Fingerprint Simulator,TOOLS,3.7,338449,2.8M,"10,000,000+",True,0.0,Everyone,Tools,2018-06-19,8.6,2.3.3 and up
Tuner - gStrings Free,TOOLS,4.5,214265,Varies with device,"10,000,000+",True,0.0,Everyone,Tools,2018-06-04,Varies with device,Varies with device
Car Parking Game 3D - Real City Driving Challenge,FAMILY,4.4,187892,40M,"5,000,000+",True,0.0,Everyone,Simulation,2018-05-10,1.2.0,4.0 and up
E!,FAMILY,3.1,740,20M,"100,000+",True,0.0,Teen,Entertainment,2018-05-24,3.3.1.41,4.4 and up
E! News,NEWS_AND_MAGAZINES,4.0,15443,25M,"1,000,000+",True,0.0,Teen,News & Magazines,2018-06-19,4.2.133,4.4 and up
eBay: Buy & Sell this Summer - Discover Deals Now!,SHOPPING,4.4,2788460,Varies with device,"100,000,000+",True,0.0,Teen,Shopping,2018-07-30,Varies with device,Varies with device
ESPN,SPORTS,4.2,521081,Varies with device,"10,000,000+",True,0.0,Everyone 10+,Sports,2018-07-19,Varies with device,5.0 and up
Chuck E.'s Skate Universe,FAMILY,3.9,94910,44M,"10,000,000+",True,0.0,Everyone,Action;Action & Adventure,2017-01-10,1.12,4.3 and up
Eventbrite - Discover popular events & nearby fun,FAMILY,4.4,63773,8.8M,"5,000,000+",True,0.0,Everyone,Entertainment,2018-07-30,5.7.2,5.0 and up
ES File Explorer File Manager,PRODUCTIVITY,4.6,5378795,16M,"100,000,000+",True,0.0,Everyone,Productivity,2018-08-03,4.1.8.2.2,4.0 and up
Eternium,FAMILY,4.8,1506783,89M,"10,000,000+",True,0.0,Teen,Role Playing,2018-07-18,1.2.115,4.0 and up
Firefox Browser fast & private,COMMUNICATION,4.4,3075096,Varies with device,"100,000,000+",True,0.0,Everyone,Communication,2018-07-10,Varies with device,Varies with device
E*TRADE Mobile,FINANCE,3.9,10657,58M,"1,000,000+",True,0.0,Everyone,Finance,2018-08-02,6.8.2,4.4 and up
WWE,FAMILY,4.5,736824,20M,"10,000,000+",True,0.0,Teen,Entertainment,2018-01-19,3.17.2,4.1 and up
E-cigarette for free,FAMILY,3.6,1354,4.8M,"500,000+",True,0.0,Mature 17+,Entertainment,2017-10-23,1.0,2.3 and up
Moto LED for Moto X & E [Root],LIFESTYLE,3.4,4082,318k,"500,000+",True,0.0,Everyone,Lifestyle,2014-10-16,1.0,4.2 and up
Mobile Security & Antivirus,PRODUCTIVITY,4.7,564759,Varies with device,"10,000,000+",True,0.0,Everyone,Productivity,2018-07-27,Varies with device,Varies with device
Lookout Security & Antivirus,TOOLS,4.4,951413,13M,"100,000,000+",True,0.0,Everyone,Tools,2018-07-31,10.23.2-964159b,4.4 and up
World History Quick e-Book,FAMILY,4.4,1657,4.9M,"100,000+",True,0.0,Everyone,Education;Education,2018-07-17,1.35,4.1 and up
Greeting Cards & Wishes,SOCIAL,4.5,17350,12M,"500,000+",True,0.0,Everyone,Social,2018-07-18,1.078,Varies with device
Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814151,Varies with device,"100,000,000+",True,0.0,Teen,Books & Reference,2018-07-27,Varies with device,Varies with device
"Evernote – Organizer, Planner for Notes & Memos",PRODUCTIVITY,4.6,1488289,Varies with device,"100,000,000+",True,0.0,Everyone,Productivity,2018-08-03,Varies with device,Varies with device
Maps & GPS Navigation OsmAnd+,TRAVEL_AND_LOCAL,4.3,15209,Varies with device,"100,000+",False,8.99,Everyone,Travel & Local,2018-08-01,Varies with device,Varies with device
Microsoft Edge,COMMUNICATION,4.3,27156,66M,"5,000,000+",True,0.0,Everyone,Communication,2018-07-28,42.0.0.2059,4.4 and up
Microsoft Outlook,PRODUCTIVITY,4.3,3249518,50M,"100,000,000+",True,0.0,Everyone,Productivity,2018-08-02,2.2.194,4.4 and up
Pinterest,SOCIAL,4.6,4300936,Varies with device,"100,000,000+",True,0.0,Teen,Social,2018-08-03,Varies with device,Varies with device
ClassDojo,FAMILY,4.4,148536,59M,"10,000,000+",True,0.0,Everyone,Education;Education,2018-08-03,4.21.1,4.1 and up
The Coupons App,SHOPPING,4.5,181983,Varies with device,"10,000,000+",True,0.0,Everyone,Shopping,2018-04-27,Varies with device,Varies with device
theScore esports,SPORTS,4.5,16257,14M,"500,000+",True,0.0,Everyone 10+,Sports,2017-02-03,2.8,4.1 and up
EX File Explorer File Manager,PRODUCTIVITY,4.0,4660,5.9M,"1,000,000+",True,0.0,Everyone,Productivity,2016-10-06,1.0,4.0 and up
Aab e Hayat Full Novel,BOOKS_AND_REFERENCE,4.3,1476,41M,"100,000+",True,0.0,Everyone,Books & Reference,2017-02-21,1.0,3.0 and up
EBookDroid - PDF & DJVU Reader,PRODUCTIVITY,4.5,75951,Varies with device,"5,000,000+",True,0.0,Everyone,Productivity,2018-07-08,Varies with device,Varies with device
Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,37M,"5,000,000+",True,0.0,Everyone,Books & Reference,2018-06-25,5.0.6,4.0 and up
Gmail,COMMUNICATION,4.3,4604324,Varies with device,"1,000,000,000+",True,0.0,Everyone,Communication,2018-08-02,Varies with device,Varies with device
E-NUM,FINANCE,4.0,10374,Varies with device,"500,000+",True,0.0,Everyone,Finance,2016-10-24,Varies with device,Varies with device
Maps - Navigate & Explore,TRAVEL_AND_LOCAL,4.3,9231613,Varies with device,"1,000,000,000+",True,0.0,Everyone,Travel & Local,2018-07-31,Varies with device,Varies with device
"AliExpress - Smarter Shopping, Better Living",SHOPPING,4.6,5911055,Varies with device,"100,000,000+",True,0.0,Teen,Shopping,2018-08-01,Varies with device,Varies with device
Aldiko Book Reader,BOOKS_AND_REFERENCE,4.2,210534,22M,"10,000,000+",True,0.0,Everyone,Books & Reference,2018-06-13,3.0.58,4.0 and up
Flipkart Online Shopping App,SHOPPING,4.4,6003590,Varies with device,"100,000,000+",True,0.0,Teen,Shopping,2018-08-02,Varies with device,Varies with device
Wish - Shopping Made Fun,SHOPPING,4.5,6200739,15M,"100,000,000+",True,0.0,Everyone,Shopping,2018-08-03,4.20.5,4.1 and up
Synd e-Passbook,FINANCE,4.3,9400,6.1M,"1,000,000+",True,0.0,Everyone,Finance,2016-05-12,1.09,2.2 and up
Messenger – Text and Video Chat for Free,COMMUNICATION,4.0,56642847,Varies with device,"1,000,000,000+",True,0.0,Everyone,Communication,2018-08-01,Varies with device,Varies with device
Facebook Lite,SOCIAL,4.3,8595964,Varies with device,"500,000,000+",True,0.0,Teen,Social,2018-08-01,Varies with device,Varies with device
Messenger Lite: Free Calls & Messages,COMMUNICATION,4.4,1429038,Varies with device,"100,000,000+",True,0.0,Everyone,Communication,2018-07-25,37.0.0.7.163,2.3 and up
Video Downloader for Facebook,TOOLS,4.6,894435,3.1M,"50,000,000+",True,0.0,Teen,Tools,2018-07-01,2.2.8,4.0 and up
F-Stop Gallery Pro,PHOTOGRAPHY,4.4,1302,58k,"10,000+",False,4.99,Everyone,Photography,2015-08-05,3.2,2.2 and up
Offroad Pickup Truck F,FAMILY,4.3,4551,79M,"500,000+",True,0.0,Everyone,Simulation,2017-12-26,1.0,2.3 and up
F-Stop Gallery,PHOTOGRAPHY,4.2,12726,15M,"1,000,000+",True,0.0,Everyone,Photography,2018-07-21,4.9.18,4.1 and up
Talking Tom Cat 2,FAMILY,4.3,3213548,55M,"100,000,000+",True,0.0,Everyone 10+,Entertainment,2018-07-25,5.3.5.16,4.1 and up
FlashLight F.Light,TOOLS,4.3,3943,11M,"100,000+",True,0.0,Everyone,Tools,2018-05-23,1.4.2,5.0 and up
F-Secure SENSE,TOOLS,4.6,57,13M,"5,000+",True,0.0,Everyone,Tools,2018-07-04,1.0.988,5.0 and up
Super Car F. Mod for MCPE,GAME,3.6,214,4.9M,"50,000+",True,0.0,Everyone,Adventure,2018-07-19,3.0.1,4.2 and up
Twitter,NEWS_AND_MAGAZINES,4.3,11657972,Varies with device,"500,000,000+",True,0.0,Mature 17+,News & Magazines,2018-07-30,Varies with device,Varies with device
F-Secure KEY Password manager,TOOLS,4.2,2588,7.6M,"100,000+",True,0.0,Everyone,Tools,2018-06-27,4.7.4,4.0 and up
Inputting Plus: Ctrl + Z/F/C/V,PRODUCTIVITY,4.2,1117,3.0M,"50,000+",True,0.0,Everyone,Productivity,2017-10-18,1.0.6,5.0 and up
CTRL-F - Search the real world,PRODUCTIVITY,4.4,607,37M,"50,000+",True,0.0,Everyone,Productivity,2016-07-24,1.1,4.0.3 and up
F-Secure SAFE,TOOLS,4.3,9433,9.3M,"500,000+",True,0.0,Everyone,Tools,2018-07-30,17.4.0014017,5.0 and up
MHD F-Series,AUTO_AND_VEHICLES,4.9,73,23M,"1,000+",True,0.0,Everyone,Auto & Vehicles,2018-06-05,version 0.994,3.2 and up
F-Secure AV Test,TOOLS,4.5,1250,241k,"50,000+",True,0.0,Everyone,Tools,2018-03-06,1.0.1,4.0.3 and up
LINE: Free Calls & Messages,COMMUNICATION,4.2,10790092,Varies with device,"500,000,000+",True,0.0,Everyone,Communication,2018-07-26,Varies with device,Varies with device
imo beta free calls and text,COMMUNICATION,4.3,659395,11M,"100,000,000+",True,0.0,Everyone,Communication,2018-06-07,9.8.000000010492,4.0 and up
F-Secure Mobile Security,TOOLS,4.2,13096,9.2M,"500,000+",True,0.0,Everyone,Tools,2018-07-30,17.4.0014017,5.0 and up
f'east,LIFESTYLE,3.8,38,4.8M,"5,000+",True,0.0,Everyone,Lifestyle,2018-04-17,2.6.3,4.0 and up
Dumb Ways to Die 2: The Games,FAMILY,4.2,1671658,Varies with device,"50,000,000+",True,0.0,Teen,Casual,2018-07-12,Varies with device,Varies with device
Speech Therapy: F,FAMILY,1.0,1,16M,10+,False,2.99,Everyone,Education,2016-10-07,1.0,2.3.3 and up
HumorCast - Authentic Weather,WEATHER,4.4,6495,40M,"100,000+",True,0.0,Teen,Weather,2018-07-12,4.4.4,4.4 and up
F & M Mobile Banking,FINANCE,4.0,43,13M,"5,000+",True,0.0,Everyone,Finance,2018-02-20,4.5.0,4.0 and up
F,TOOLS,nan,6,4.9M,500+,True,0.0,Everyone,Tools,2018-05-15,1.0.2,4.0 and up
RPG End of Aspiration F,FAMILY,4.4,20368,31M,"500,000+",True,0.0,Teen,Role Playing,2016-12-15,3.0.0fr,2.3 and up
F-Sim Space Shuttle,FAMILY,4.4,5427,Varies with device,"100,000+",False,4.99,Everyone,Simulation,2014-01-28,Varies with device,Varies with device
Weather Live,WEATHER,4.5,76593,Varies with device,"500,000+",False,5.99,Everyone,Weather,2017-11-21,Varies with device,Varies with device
Norwegian For Kids & Babies F,FAMILY,nan,0,14M,5+,False,39.99,Everyone,Education,2015-09-24,1.0,4.0 and up
R+F PULSE,BUSINESS,3.4,58,3.0M,"10,000+",True,0.0,Everyone,Business,2017-04-21,1.0,4.4 and up
F-Secure Freedome for Business,BUSINESS,3.8,183,9.9M,"50,000+",True,0.0,Everyone,Business,2018-07-16,2.5.1.7594.psb,4.0.3 and up
F-1 watchface by Delta,PERSONALIZATION,nan,0,Varies with device,10+,False,2.49,Everyone,Personalization,2017-08-23,Varies with device,Varies with device
"f.lux (preview, root-only)",HEALTH_AND_FITNESS,3.7,5559,3.7M,"500,000+",True,0.0,Everyone,Health & Fitness,2016-03-15,22.0,4.0.3 and up
F Length Sim (no Ads),PHOTOGRAPHY,nan,0,1.7M,10+,False,2.0,Everyone,Photography,2018-04-29,1.0,4.0.3 and up
Arto: f.infrared photo,PHOTOGRAPHY,4.1,41,11M,500+,False,1.49,Everyone,Photography,2016-07-19,3.1,4.4 and up
Geometry Dash World,GAME,4.6,759838,63M,"10,000,000+",True,0.0,Everyone,Arcade,2017-12-22,1.03,4.0 and up
Convert degree Celsius to Fahrenheit or °F to °C,TOOLS,4.4,51,2.1M,"5,000+",True,0.0,Everyone,Tools,2018-05-21,1.5.8,4.0 and up
F-Gas Solutions,BUSINESS,4.2,127,1.4M,"10,000+",True,0.0,Everyone,Business,2016-10-07,2.1.3,4.0 and up
Google+,SOCIAL,4.2,4828372,Varies with device,"1,000,000,000+",True,0.0,Teen,Social,2018-07-26,Varies with device,Varies with device
PUBG MOBILE,GAME,4.4,3697174,36M,"50,000,000+",True,0.0,Teen,Action,2018-07-24,0.7.0,4.3 and up
Gangstar Vegas - mafia game,GAME,4.5,4830407,32M,"50,000,000+",True,0.0,Mature 17+,Action,2018-05-25,3.7.1a,Varies with device
Gboard - the Google Keyboard,TOOLS,4.2,1855262,Varies with device,"500,000,000+",True,0.0,Everyone,Tools,2018-07-31,Varies with device,Varies with device
Granny,GAME,4.5,1128805,59M,"50,000,000+",True,0.0,Teen,Arcade,2018-05-29,1.4.0.1,4.0 and up
Offroad Car G,FAMILY,4.3,64884,37M,"5,000,000+",True,0.0,Everyone,Simulation,2016-07-12,1,2.3.3 and up
Google,TOOLS,4.4,8021623,Varies with device,"1,000,000,000+",True,0.0,Everyone,Tools,2018-08-03,Varies with device,Varies with device
Google Now Launcher,TOOLS,4.2,857215,7.9M,"100,000,000+",True,0.0,Everyone,Tools,2017-12-07,1.4.large,4.1 - 7.1.1
Rolling G Sky,GAME,3.6,2065,25M,"100,000+",True,0.0,Everyone,Adventure,2017-01-25,1.0,2.3.3 and up
Hangouts,COMMUNICATION,4.0,3419464,Varies with device,"1,000,000,000+",True,0.0,Everyone,Communication,2018-07-21,Varies with device,Varies with device
G-Switch 2,GAME,4.4,12683,19M,"1,000,000+",True,0.0,Everyone,Action,2018-02-05,1.1,2.3 and up
G-Switch 3,GAME,4.6,3656,39M,"100,000+",True,0.0,Everyone,Action,2018-03-15,1.1.3,3.0 and up
G Cloud Apps Backup Key * root,TOOLS,4.5,1034,196k,"5,000+",False,4.99,Everyone,Tools,2013-09-08,1.1,2.2 and up
Share G - Images Sharing - Wallpapers App,SOCIAL,4.4,120,2.3M,"10,000+",True,0.0,Teen,Social,2017-10-05,1.0,4.0.3 and up
Next Launcher 3D Theme Hit-G,PERSONALIZATION,4.2,59,8.1M,"1,000+",False,1.7,Everyone,Personalization,2015-08-16,1.05,2.2 and up
Wrestling Revolution 3D,SPORTS,4.3,989344,51M,"50,000,000+",True,0.0,Teen,Sports,2018-07-23,1.640,4.0 and up
G Cloud Backup,PRODUCTIVITY,4.6,267042,Varies with device,"5,000,000+",True,0.0,Everyone,Productivity,2018-04-29,Varies with device,Varies with device
G-Playlists,TOOLS,1.8,53,3.4M,"1,000+",False,1.49,Everyone,Tools,2018-05-19,1.91,4.0.3 and up
G-Switch,GAME,3.8,4116,8.8M,"100,000+",True,0.0,Everyone,Action,2015-09-01,1.3.4,2.3 and up
Offroad G-Class 2018,FAMILY,4.4,7715,28M,"500,000+",True,0.0,Everyone,Simulation,2018-06-29,1.7,4.1 and up
G-SHOCK+,LIFESTYLE,3.0,4710,Varies with device,"100,000+",True,0.0,Everyone,Lifestyle,2017-11-01,Varies with device,Varies with device
Ramfer - CNC Lathe G-code Tool,PRODUCTIVITY,3.4,5,11M,100+,False,2.99,Everyone,Productivity,2016-09-26,2,3.2 and up
G-Force Driving Assistant,SPORTS,4.6,10,6.1M,100+,False,3.88,Everyone,Sports,2013-04-10,1.0,2.3.3 and up
My G:,MAPS_AND_NAVIGATION,3.7,96,14M,"10,000+",True,0.0,Everyone,Maps & Navigation,2017-11-14,1.4.0,4.1 and up
G-SHOCK Connected,LIFESTYLE,3.0,543,94M,"50,000+",True,0.0,Everyone,Lifestyle,2018-07-02,1.4.1(0629A),5.0 and up
Go,PERSONALIZATION,4.6,89,11M,"5,000+",False,0.99,Everyone,Personalization,2017-10-21,1.6.1,4.0.3 and up
Google Drive,PRODUCTIVITY,4.4,2728941,Varies with device,"1,000,000,000+",True,0.0,Everyone,Productivity,2018-07-30,Varies with device,Varies with device
G-Homa,LIFESTYLE,3.1,777,14M,"50,000+",True,0.0,Everyone,Lifestyle,2018-05-04,3.0.20,4.0 and up
G-NetTrack Pro,TOOLS,4.3,255,1.6M,"5,000+",False,14.99,Everyone,Tools,2018-07-25,14.6,4.0 and up
"G Theme 2 for LG V30, LG G6",PERSONALIZATION,4.3,25,15M,500+,False,1.49,Everyone,Personalization,2017-12-13,1.0.2,7.0 and up
Speedometer with G-FORCE meter,TOOLS,3.8,415,2.7M,"50,000+",True,0.0,Everyone,Tools,2017-06-01,7.0,2.3 and up
A41 WatchFace for Android Wear Smart Watch,LIFESTYLE,4.5,231,5.7M,"5,000+",False,0.99,Everyone,Lifestyle,2017-12-24,7.0.1,4.3 and up
Radial-G : Infinity,GAME,3.6,517,47M,"50,000+",True,0.0,Everyone,Arcade,2015-12-07,1.4,4.1 and up
G-NetReport Pro,TOOLS,nan,0,1.6M,10+,False,25.99,Everyone,Tools,2018-06-14,5.0,4.0 and up
Dialer theme G Black Gold,PERSONALIZATION,4.2,33,857k,500+,False,1.49,Everyone,Personalization,2016-01-01,2.0,4.0 and up
G-REMOTE,HOUSE_AND_HOME,4.5,30,25M,"1,000+",True,0.0,Everyone,House & Home,2018-08-01,2.4,4.0.3 and up
Car G-Force Meter,TOOLS,4.2,184,1.3M,"10,000+",True,0.0,Everyone,Tools,2017-07-29,2.23,4.0 and up
G-NetWiFi Pro,TOOLS,3.3,6,1.5M,100+,False,5.99,Everyone,Tools,2018-06-18,3.2,4.0 and up
Helix Jump,GAME,4.2,1485806,33M,"100,000,000+",True,0.0,Everyone,Action,2018-04-09,1.0.6,4.1 and up
HSPA+ Tweaker (3G booster),TOOLS,4.3,99290,3.9M,"5,000,000+",True,0.0,Everyone,Tools,2017-12-05,3.1 Release b2,2.3 and up
Offroad Car H,FAMILY,4.2,1960,87M,"100,000+",True,0.0,Everyone,Simulation,2017-10-06,1.4,2.3 and up
H&M,LIFESTYLE,3.7,41917,14M,"10,000,000+",True,0.0,Everyone,Lifestyle,2018-07-30,9.6.3,4.4 and up
Guns - Shot Sounds,FAMILY,3.8,29544,10M,"10,000,000+",True,0.0,Everyone,Entertainment,2018-07-25,3.15,4.0 and up
HPlus,HEALTH_AND_FITNESS,2.9,1786,5.9M,"100,000+",True,0.0,Everyone,Health & Fitness,2018-06-12,3.5.2,4.4 and up
Geometry Dash Lite,GAME,4.5,6181640,58M,"100,000,000+",True,0.0,Everyone,Arcade,2017-12-22,2.2,4.0 and up
