a,b,c,d,e,f,g,h,i,j,k,l,m
Best Hairstyles step by step,BEAUTY,4.5,45452,9.2M,"5,000,000+",True,0.0,Everyone,Beauty,2018-07-19,1.25,4.0 and up
Halloween Sandbox Number Coloring- Color By Number,FAMILY,4.4,289,19M,"100,000+",True,0.0,Everyone,Entertainment,2018-02-17,1.2,4.1 and up
"Fiesta by Tango - Find, Meet and Make New Friends",SOCIAL,4.3,112223,34M,"1,000,000+",True,0.0,Mature 17+,Social,2018-07-05,5.68.1,5.0 and up
"Poly Art: Paint by Sticker, Color by Number Puzzle",FAMILY,4.4,2100,Varies with device,"100,000+",True,0.0,Everyone,Entertainment;Brain Games,2018-07-28,2.3,4.1 and up
"Pixel art pro-Sand box,paint by number,number draw",FAMILY,4.5,2442,13M,"100,000+",True,0.0,Everyone,Casual;Brain Games,2018-07-06,2.5.111,4.0.3 and up
Color by Number: Pixel Art,FAMILY,4.6,12034,34M,"1,000,000+",True,0.0,Everyone,Entertainment,2018-05-26,4.8,4.1 and up
UNICORN - Color By Number & Pixel Art Coloring,FAMILY,4.7,8264,24M,"500,000+",True,0.0,Everyone,Art & Design;Creativity,2018-08-02,1.0.9,4.4 and up
FunnyPixels - Color by number Sandbox,FAMILY,4.6,1977,3.8M,"100,000+",True,0.0,Everyone,Entertainment,2018-02-21,1.0.4,4.0.3 and up
Color By Numbers - Art Game for Kids and Adults,FAMILY,3.1,305,8.3M,"100,000+",True,0.0,Everyone,Educational;Brain Games,2016-07-07,3,2.3.3 and up
Elmo Calls by Sesame Street,FAMILY,3.9,6903,25M,"1,000,000+",True,0.0,Everyone,Educational;Pretend Play,2018-01-31,2.0.7,2.3 and up
Voxel - 3D Color by Number & Pixel Coloring Book,GAME,4.7,62561,53M,"1,000,000+",True,0.0,Everyone,Board,2018-07-31,2.4.11,4.1 and up
No.Diamond – Colors by Number,FAMILY,4.6,9016,24M,"1,000,000+",True,0.0,Everyone,Entertainment;Creativity,2018-08-06,0.9.34,4.1 and up
BZ Reminder,BUSINESS,4.7,41625,5.4M,"1,000,000+",True,0.0,Everyone,Business,2017-12-21,2.3.4,4.1 and up
B.Z. Live-Ticker,NEWS_AND_MAGAZINES,nan,114,7.7M,"10,000+",True,0.0,Everyone,News & Magazines,2018-05-25,1.6,4.2 and up
420 BZ Budeze Delivery,MEDICAL,5.0,2,11M,100+,True,0.0,Mature 17+,Medical,2018-06-06,1.0.1,4.1 and up
Weather BZ,WEATHER,4.4,8433,5.6M,"100,000+",True,0.0,Everyone,Weather,2018-06-06,5.0.1 build 1,4.0 and up
BZ Reminder PRO,BUSINESS,4.8,726,5.4M,"1,000+",False,3.99,Everyone,Business,2017-12-20,2.3.3,4.1 and up
BZ Bingo,FAMILY,nan,1,17M,100+,True,0.0,Everyone,Entertainment,2018-04-03,1.3,4.0.3 and up
Evasion.bz,SOCIAL,4.1,8,4.4M,100+,True,0.0,Teen,Social,2017-07-14,0.0.9,4.1 and up
BZ Berner Zeitung E-Paper,NEWS_AND_MAGAZINES,nan,4,Varies with device,"1,000+",True,0.0,Everyone,News & Magazines,2018-07-30,5.1.1,4.1 and up
BZ-Smart,NEWS_AND_MAGAZINES,4.3,828,8.2M,"10,000+",True,0.0,Everyone,News & Magazines,2017-10-10,1.98,2.3.3 and up
BZ Zombie VR,GAME,4.4,12,98M,"1,000+",True,0.0,Mature 17+,Action,2018-02-07,1.4,4.4 and up
BZ Conferencing,TOOLS,4.7,7,29M,"1,000+",True,0.0,Everyone,Tools,2018-06-27,3.8.3,4.1 and up
GITZ.bz,SHOPPING,4.0,4,2.4M,10+,True,0.0,Everyone,Shopping,2017-08-04,1.0,4.1 and up
Berner Zeitung,NEWS_AND_MAGAZINES,3.4,736,8.5M,"50,000+",True,0.0,Teen,News & Magazines,2018-08-03,7.5.9.1,4.1 and up
BZ Fingers,GAME,4.6,15,3.2M,50+,True,0.0,Everyone,Arcade,2017-07-05,1.3,4.0.3 and up
Dragon B.Z Wallpapers,PERSONALIZATION,nan,0,3.8M,10+,True,0.0,Everyone,Personalization,2018-05-06,2.1,4.0.3 and up
bz Basellandschaftliche News,NEWS_AND_MAGAZINES,2.8,33,33M,"1,000+",True,0.0,Everyone,News & Magazines,2018-06-06,1.4.0,5.0 and up
BZ Langenthaler Tagblatt E-Paper,NEWS_AND_MAGAZINES,nan,0,Varies with device,10+,True,0.0,Everyone,News & Magazines,2018-07-30,5.1.1,4.1 and up
24/7 BZ Reis,TRAVEL_AND_LOCAL,3.1,421,53M,"100,000+",True,0.0,Everyone,Travel & Local,2018-03-09,4.4.15,4.1 and up
BZ Delivery,SHOPPING,nan,1,6.2M,500+,True,0.0,Everyone,Shopping,2018-01-15,1.1.0,4.0.3 and up
Badische Zeitung,NEWS_AND_MAGAZINES,3.9,262,22M,"10,000+",True,0.0,Everyone,News & Magazines,2018-06-26,5.3,4.1 and up
Dragon BZ Wallpapers HD,PERSONALIZATION,nan,5,17M,"1,000+",True,0.0,Everyone,Personalization,2018-04-04,1.11,4.0 and up
bz Baselland E-Paper,NEWS_AND_MAGAZINES,4.2,69,25M,"5,000+",True,0.0,Everyone,News & Magazines,2017-08-24,5.1.4,4.4 and up
BZWBK24 mobile,FINANCE,4.5,64983,39M,"1,000,000+",True,0.0,Everyone,Finance,2018-06-18,5.0.1,4.1 and up
BZ Dealer,PRODUCTIVITY,nan,5,4.6M,500+,True,0.0,Everyone,Productivity,2017-10-31,1.0.3,4.0.3 and up
BZ Vesper-App,TRAVEL_AND_LOCAL,4.1,60,13M,"1,000+",True,0.0,Everyone,Travel & Local,2015-08-06,1.0.2,2.3.3 and up
BZ-Digital,NEWS_AND_MAGAZINES,nan,4,36M,100+,True,0.0,Everyone,News & Magazines,2018-03-05,2.4.1,4.4 and up
Dragon BZ Super Wallpapers,FAMILY,4.2,12,13M,"1,000+",True,0.0,Everyone,Entertainment,2018-01-16,1.0,4.0.3 and up
BZ Berner Oberländer,NEWS_AND_MAGAZINES,nan,64,8.5M,"1,000+",True,0.0,Everyone,News & Magazines,2018-08-03,7.5.9.1,4.1 and up
bz Basel E-Paper,NEWS_AND_MAGAZINES,nan,72,25M,"5,000+",True,0.0,Everyone,News & Magazines,2017-08-24,5.1.4,4.4 and up
Südtirol2Go,MAPS_AND_NAVIGATION,3.3,555,31M,"50,000+",True,0.0,Everyone,Maps & Navigation,2017-12-20,2.1.2,4.0 and up
TFO BZ Lessons,FAMILY,4.4,75,3.7M,500+,True,0.0,Everyone,Education,2017-04-28,2.1.1,4.1 and up
BZ Langenthaler Tagblatt,VIDEO_PLAYERS,nan,22,8.5M,"1,000+",True,0.0,Everyone,Video Players & Editors,2018-08-03,7.5.9.1,4.1 and up
City Driving Jeep Mania: Parking Passion 2018,FAMILY,4.4,36,24M,"10,000+",True,0.0,Everyone,Simulation,2018-06-14,1.0,4.0 and up
Sniper Gun Shot 3D: Impossible Missions,GAME,4.6,20,34M,100+,True,0.0,Mature 17+,Action,2018-05-04,1.0,4.0 and up
ePN Cashback AliExpress,SHOPPING,4.4,19212,6.9M,"500,000+",True,0.0,Everyone,Shopping,2018-08-03,0.2.9.17,4.1 and up
Elite Commando Shooting War,GAME,4.5,14,45M,100+,True,0.0,Teen,Action,2018-06-29,1.0,4.0 and up
Restaurantführer Südbaden,TRAVEL_AND_LOCAL,4.1,46,12M,"1,000+",True,0.0,Everyone,Travel & Local,2017-01-11,2.0.0,4.0 and up
bz Basel News,NEWS_AND_MAGAZINES,2.2,23,33M,"1,000+",True,0.0,Everyone,News & Magazines,2018-06-06,1.4.0,5.0 and up
Contractor City Construction - Heavy Logistics,FAMILY,4.2,31,35M,"5,000+",True,0.0,Everyone,Simulation,2018-06-12,1.01,4.0 and up
Park Limousine: Realistic Limo Parking Simulator,FAMILY,4.8,4,25M,"1,000+",True,0.0,Everyone,Simulation,2018-07-20,1.0,4.0 and up
Animal Hunting: Sniper Shooting,GAME,nan,0,48M,50+,True,0.0,Teen,Action,2018-07-06,1.0,4.0 and up
WISE- MOBILE PORTAL,TOOLS,nan,3,1.0M,500+,True,0.0,Everyone,Tools,2015-07-30,1.0.0.4,2.2 and up
Inwestor mobile,FINANCE,3.2,124,7.2M,"10,000+",True,0.0,Everyone,Finance,2018-01-03,1.2.3,4.1 and up
BZ Straußenführer,TRAVEL_AND_LOCAL,4.3,291,14M,"10,000+",True,0.0,Everyone,Travel & Local,2016-03-17,1.2.3,4.0 and up
Zoosk Dating App: Meet Singles,DATING,4.0,516917,Varies with device,"10,000,000+",True,0.0,Mature 17+,Dating,2018-08-02,Varies with device,Varies with device
Putzmeister Experts,TOOLS,4.6,21,8.9M,"1,000+",True,0.0,Everyone,Tools,2018-05-08,1.3,4.1 and up
Filmi Gaane,FAMILY,4.4,572,Varies with device,"100,000+",True,0.0,Everyone,Entertainment,2017-08-17,Varies with device,Varies with device
Bubble,TOOLS,4.5,31621,208k,"5,000,000+",True,0.0,Everyone,Tools,2011-07-10,2.0.1,1.6 and up
iBiznes24 mobile,FINANCE,nan,38,9.4M,"5,000+",True,0.0,Everyone,Finance,2018-06-30,1.8.1,4.4 and up
CA Service Management,BUSINESS,3.4,91,8.3M,"10,000+",True,0.0,Everyone,Business,2018-03-20,3.1.13,5.0 and up
CA Mobile Authenticator,BUSINESS,nan,9,6.9M,"1,000+",True,0.0,Everyone,Business,2016-12-15,1.0.0,4.2 and up
CA Latam Partners,BUSINESS,nan,0,12M,10+,True,0.0,Everyone,Business,2018-08-03,1.1.2,4.3 and up
CA Mobile OTP,TOOLS,3.3,688,5.5M,"100,000+",True,0.0,Everyone,Tools,2017-09-05,2.3.5,2.3.3 and up
CA Lottery Official App,FAMILY,4.2,7000,26M,"1,000,000+",True,0.0,Teen,Entertainment,2018-08-02,3.0.2,4.4 and up
CA Technologies,FAMILY,nan,1,98M,100+,True,0.0,Everyone,Puzzle,2017-10-20,1.093,4.1 and up
CA Case Management,BUSINESS,2.4,16,5.2M,500+,True,0.0,Everyone,Business,2016-05-04,1.0.1,4.0 and up
CA UIM Mobile,BUSINESS,3.2,54,7.7M,"1,000+",True,0.0,Everyone,Business,2016-02-29,8.4.1,4.0 and up
CA Clarity Mobile Time Manager,BUSINESS,3.1,104,5.3M,"10,000+",True,0.0,Everyone,Business,2015-05-14,2.0,2.2 and up
CA Auth ID,TOOLS,3.8,39,375k,"10,000+",True,0.0,Teen,Tools,2014-10-17,2.2.1,1.6 and up
Patchcord.ca Inc. App Launcher,BUSINESS,nan,0,3.7M,10+,True,0.0,Everyone,Business,2016-12-23,1.21,4.0 and up
CA Speakers Free,LIFESTYLE,4.8,74,2.9M,"5,000+",True,0.0,Teen,Lifestyle,2015-09-30,1.6,2.3.3 and up
CA World '17,PRODUCTIVITY,3.7,7,18M,"1,000+",True,0.0,Teen,Productivity,2018-06-10,7.17.2.0,5.0 and up
CA DMV,TOOLS,4.2,5463,6.0M,"1,000,000+",True,0.0,Everyone,Tools,2017-08-25,4.0,4.1 and up
Save.ca,SHOPPING,3.7,2094,34M,"100,000+",True,0.0,Everyone,Shopping,2018-07-02,4.8.18.12,4.1 and up
California Cop Assist CA Cop,PRODUCTIVITY,3.0,5,7.0M,100+,False,4.99,Everyone,Productivity,2014-02-11,1.3,2.2 and up
CA Laws 2018 (California Laws and Codes),BOOKS_AND_REFERENCE,3.9,56,38M,"5,000+",True,0.0,Everyone,Books & Reference,2018-03-24,1.17,4.4 and up
California Cameras - Traffic,TRAVEL_AND_LOCAL,4.0,305,5.4M,"10,000+",True,0.0,Everyone,Travel & Local,2018-06-20,6.3.4,4.0.3 and up
CA Speakers,LIFESTYLE,5.0,12,1.2M,100+,False,0.99,Teen,Lifestyle,2014-03-25,1.0,3.0 and up
Register.ca Mobile,PRODUCTIVITY,nan,0,1.2M,100+,True,0.0,Everyone,Productivity,2016-08-19,2.0,5.0 and up
CB Radio Chat - for friends!,COMMUNICATION,4.0,17998,7.9M,"1,000,000+",True,0.0,Teen,Communication,2018-03-27,2.6.3,4.0 and up
Truck Chat & CB for Truckers,MAPS_AND_NAVIGATION,2.7,89,2.3M,"10,000+",True,0.0,Mature 17+,Maps & Navigation,2018-07-31,1.0.10.5,4.0.3 and up
CB Frequencies FREE!,TOOLS,3.1,364,2.3M,"100,000+",True,0.0,Everyone,Tools,2018-03-02,2,4.0.3 and up
CB On Mobile,COMMUNICATION,4.1,901,323k,"100,000+",True,0.0,Teen,Communication,2017-04-26,1.0.5,4.0 and up
Cricbuzz - Live Cricket Scores & News,SPORTS,4.5,838738,Varies with device,"50,000,000+",True,0.0,Everyone,Sports,2018-05-18,Varies with device,Varies with device
CB Frequencies,TOOLS,4.0,5,1.4M,100+,False,0.99,Everyone,Tools,2015-12-24,1.0,4.0.3 and up
Virtual Walkie Talkie,COMMUNICATION,3.8,21785,2.5M,"1,000,000+",True,0.0,Everyone,Communication,2015-08-13,1.41,2.3 and up
CB Outdoors,FAMILY,3.8,5,12M,"1,000+",True,0.0,Everyone,Education,2017-05-30,1.200,4.0.3 and up
Viking CB Radios,BUSINESS,4.3,6,15M,"1,000+",True,0.0,Everyone,Business,2017-05-24,1.0.1,4.1 and up
Frequencies Free,TOOLS,3.5,382,3.1M,"100,000+",True,0.0,Everyone,Tools,2018-02-04,1.9,4.0.3 and up
CB-Mobile Banking,FINANCE,4.5,96,12M,"10,000+",True,0.0,Everyone,Finance,2018-06-22,4.17.38,4.4 and up
CBRadioTab,TOOLS,3.9,127,1.5M,"50,000+",True,0.0,Everyone,Tools,2017-04-01,1.0,3.0 and up
CB SMART LIFE,TOOLS,nan,30,9.0M,500+,True,0.0,Everyone,Tools,2018-07-03,2.4.0,4.1 and up
CB Bank Mobile Banking,FINANCE,4.5,1308,3.7M,"100,000+",True,0.0,Everyone,Finance,2015-06-08,13.0,2.2 and up
CB Martial Arts,HEALTH_AND_FITNESS,nan,0,8.7M,10+,True,0.0,Everyone,Health & Fitness,2018-05-15,1.1.7,4.1 and up
C.B. Shop,SHOPPING,nan,19,19M,100+,True,0.0,Everyone,Shopping,2017-05-09,1.0.1,4.0.3 and up
CB Underground,LIFESTYLE,3.3,3,7.4M,500+,True,0.0,Everyone,Lifestyle,2015-09-15,1.2,3.2 and up
CB Background - Free HD Wallpaper Images,PERSONALIZATION,4.1,4538,3.3M,"1,000,000+",True,0.0,Everyone,Personalization,2018-03-24,3.1.0,4.0 and up
CB NFC Pendant,HEALTH_AND_FITNESS,nan,0,913k,50+,True,0.0,Everyone,Health & Fitness,2017-10-04,1.0.2,4.1 and up
WRLP CB Repeater,FAMILY,nan,14,4.9M,"1,000+",True,0.0,Teen,Entertainment,2018-07-21,1.1.11,2.1 and up
CB Fit,HEALTH_AND_FITNESS,5.0,1,7.8M,10+,True,0.0,Everyone,Health & Fitness,2018-07-09,4.2.2,4.1 and up
Minwa HA ( C.B ),HOUSE_AND_HOME,nan,0,5.0M,50+,True,0.0,Everyone,House & Home,2017-09-15,1.0.0,4.1 and up
Channel 19,COMMUNICATION,3.7,916,12M,"100,000+",True,0.0,Mature 17+,Communication,2018-07-13,2.2.6,4.1 and up
Citizens Bank - CB Mobile,FINANCE,4.8,6,11M,"1,000+",True,0.0,Everyone,Finance,2018-08-02,4.19.62,4.4 and up
CB Mobile Access,FINANCE,1.5,57,25M,"1,000+",True,0.0,Everyone,Finance,2018-02-26,4.3.6,4.2 and up
CB VIDEO VISION,PHOTOGRAPHY,5.0,13,2.6M,100+,True,0.0,Everyone,Photography,2017-09-12,0.0.2,4.1 and up
CB Hair Png - New Hair Png For CB Editing,PHOTOGRAPHY,4.6,26,7.2M,500+,True,0.0,Everyone,Photography,2018-07-29,2,4.0 and up
CB STARS,FAMILY,nan,1,1.8M,10+,True,0.0,Everyone,Education,2017-12-30,1.0,1.6 and up
CB Mobile,BUSINESS,nan,3,2.6M,100+,True,0.0,Everyone,Business,2018-04-26,10,4.0 and up
C B Patel Health Club,HEALTH_AND_FITNESS,5.0,5,14M,100+,True,0.0,Everyone,Health & Fitness,2018-07-02,1.0.1,4.4 and up
CB Trader,FINANCE,4.7,11,2.2M,"1,000+",True,0.0,Everyone,Finance,2018-04-11,1.6.1,4.0 and up
CB TV,FAMILY,nan,2,1.9M,100+,True,0.0,Teen,Strategy,2016-09-13,1.0.0,4.0.3 and up
Football-CB GO Clock Theme,PERSONALIZATION,4.7,26,5.6M,"1,000+",True,0.0,Everyone,Personalization,2017-03-03,1.0.3,4.0.3 and up
CB SmartCAR Monitor,TOOLS,nan,1,514k,10+,True,0.0,Everyone,Tools,2017-07-20,4.0,4.3 and up
CB News,FAMILY,5.0,7,20M,50+,True,0.0,Everyone,Education,2016-09-10,1.2.0,4.1 and up
CB Pay,FINANCE,4.5,198,11M,"10,000+",True,0.0,Everyone,Finance,2018-07-09,1.8.0,4.4 and up
CB Mobile GA,FINANCE,nan,1,12M,100+,True,0.0,Everyone,Finance,2017-11-21,1.9.1,4.1 and up
CB Register,FAMILY,5.0,1,5.6M,10+,True,0.0,Everyone,Entertainment,2018-06-27,1.0,4.1 and up
Cádiz CB Gades,SPORTS,nan,1,3.8M,10+,True,0.0,Everyone,Sports,2018-08-05,opciÃ³n de cerrar,4.1 and up
CB Land,BUSINESS,nan,0,6.4M,100+,True,0.0,Everyone,Business,2018-03-13,6.3.5,4.1 and up
Cb browser,COMMUNICATION,5.0,5,3.7M,50+,True,0.0,Everyone,Communication,2018-04-02,1.0,4.0 and up
CB Edits PNG & CB Backgrounds,PHOTOGRAPHY,4.2,17,3.4M,"5,000+",True,0.0,Everyone,Photography,2018-07-20,1.0.0,4.1 and up
CB Mobile Biz,FINANCE,1.0,3,8.4M,500+,True,0.0,Everyone,Finance,2016-02-22,4.4.1255,4.0 and up
Antenna Tool Premium,TOOLS,4.5,14,2.9M,500+,False,0.99,Everyone,Tools,2017-10-26,2.2,4.0.3 and up
Antenna Tool,TOOLS,4.2,522,2.9M,"50,000+",True,0.0,Everyone,Tools,2017-10-26,2.2 Free,4.0.3 and up
CB Heroes,SOCIAL,5.0,5,1.8M,5+,True,0.0,Everyone,Social,2018-08-04,1.2.4,5.0 and up
Frequencies,TOOLS,4.2,11,3.1M,500+,False,0.99,Everyone,Tools,2018-02-04,1.9,4.0.3 and up
Creative Destruction,GAME,4.4,201426,80M,"5,000,000+",True,0.0,Teen,Action,2018-08-02,1.0.6,4.0 and up
CD Library,PRODUCTIVITY,3.9,44,3.3M,"10,000+",True,0.0,Everyone,Productivity,2017-02-18,5.7.2,2.1 and up
Sonic CD Classic,GAME,4.6,26138,15M,"1,000,000+",True,0.0,Everyone,Action,2018-02-14,1.0.2,4.2 and up
ARK: Survival Evolved,GAME,3.8,51523,36M,"500,000+",True,0.0,Teen,Adventure,2018-08-02,1.0.90,7.0 and up
APagri CD,PRODUCTIVITY,nan,5,Varies with device,10+,True,0.0,Everyone,Productivity,2018-05-26,Varies with device,Varies with device
Design innovation CD Cassette,LIFESTYLE,nan,5,8.3M,500+,True,0.0,Everyone,Lifestyle,2017-02-06,1.0,2.3 and up
DIY Crafts Cds,LIFESTYLE,4.0,209,3.1M,"50,000+",True,0.0,Everyone,Lifestyle,2017-01-24,3.0,3.0 and up
CD Events,BUSINESS,nan,1,9.5M,100+,True,0.0,Everyone,Business,2015-03-27,0.9.0,2.3.3 and up
PRIMATURE.CD,NEWS_AND_MAGAZINES,nan,6,4.8M,100+,True,0.0,Everyone,News & Magazines,2017-10-30,6.3.7.1,4.1 and up
CD Roma's,BUSINESS,nan,2,6.7M,100+,True,0.0,Everyone,Business,2015-06-04,2.00.0.3,4.0.3 and up
CD Ready,BUSINESS,4.6,52,Varies with device,"1,000+",True,0.0,Everyone,Business,2017-02-02,6.3.3,4.0 and up
INTERKINOIS.CD,NEWS_AND_MAGAZINES,nan,1,1.5M,5+,True,0.0,Everyone,News & Magazines,2018-06-09,1.0,4.0.3 and up
CD Live - Club del Deportista,LIFESTYLE,nan,8,9.2M,500+,True,0.0,Everyone,Lifestyle,2018-06-12,4.1,4.1 and up
Bootable Methods(USB-CD-DVD),BOOKS_AND_REFERENCE,3.4,37,3.4M,"10,000+",True,0.0,Everyone,Books & Reference,2018-05-31,1.5,4.0 and up
Creative CD Letter Holder,LIFESTYLE,nan,0,13M,10+,True,0.0,Everyone,Lifestyle,2017-11-15,7.1,4.0 and up
CD CHOICE TUBE,FAMILY,5.0,10,5.8M,500+,True,0.0,Everyone,Entertainment,2017-07-23,0.0.4,4.1 and up
My Movies Pro - Movie & TV Collection Library,LIFESTYLE,4.6,6477,20M,"10,000+",False,7.99,Everyone,Lifestyle,2018-07-16,2.26 Build 17,4.1 and up
CD View Lite,TOOLS,nan,2,20M,100+,True,0.0,Everyone,Tools,2018-02-02,1.0.180202,4.1 and up
CD - Teach me ABC English L1,FAMILY,nan,2,63M,500+,True,0.0,Everyone,Education,2017-06-18,1.0.0,4.0 and up
Best Design CD Ideas,LIFESTYLE,nan,0,13M,10+,True,0.0,Everyone,Lifestyle,2018-04-18,1.0.0,4.0.3 and up
CD Carpe Diem App,FAMILY,nan,17,27M,100+,True,0.0,Everyone,Education,2018-07-18,2,4.1 and up
Yazdani Cd Center EllahAbad Official App,FAMILY,5.0,8,3.8M,500+,True,0.0,Everyone,Entertainment,2018-01-12,2.0,4.0 and up
CD JUANITO,SPORTS,nan,6,16M,500+,True,0.0,Everyone,Sports,2017-10-26,6.0,4.1 and up
CD Music,LIBRARIES_AND_DEMO,nan,1,2.3M,100+,True,0.0,Everyone,Libraries & Demo,2018-03-30,1.0,4.4 and up
DIY cd rom ideas,LIFESTYLE,nan,5,12M,500+,True,0.0,Everyone,Lifestyle,2016-10-17,1.0,2.3.3 and up
Easy DIY CD Craft Ideas,ART_AND_DESIGN,nan,7,5.6M,"5,000+",True,0.0,Everyone,Art & Design,2018-05-30,1.0,2.3 and up
Disc Label Print,TOOLS,3.0,262,37M,"10,000+",True,0.0,Everyone,Tools,2016-09-20,1.0.0,4.0 and up
Kiosque CD,TRAVEL_AND_LOCAL,nan,0,22M,5+,True,0.0,Everyone,Travel & Local,2018-06-18,4.6.2201,4.3 and up
CD-Zing,BUSINESS,3.8,70,Varies with device,"1,000+",True,0.0,Everyone,Business,2016-10-26,6.2.7,4.0 and up
Nero AirBurn,VIDEO_PLAYERS,4.2,1008,1.7M,"100,000+",True,0.0,Everyone,Video Players & Editors,2015-06-26,1.0.9,4.0 and up
CD COMET,MAPS_AND_NAVIGATION,4.3,12,2.6M,100+,True,0.0,Everyone,Maps & Navigation,2018-08-04,4.0,4.1 and up
DIY Recycled CD Wall Art,LIFESTYLE,nan,3,7.9M,"1,000+",True,0.0,Everyone,Lifestyle,2016-12-14,1.0,2.3 and up
CD View,TOOLS,nan,0,20M,500+,True,0.0,Everyone,Tools,2018-02-06,1.0.180206,4.1 and up
US 115th CD,TRAVEL_AND_LOCAL,nan,0,5.7M,5+,True,0.0,Everyone,Travel & Local,2017-11-03,106,4.0.3 and up
Билеты ПДД CD 2019 PRO,AUTO_AND_VEHICLES,nan,21,16M,100+,False,1.49,Everyone,Auto & Vehicles,2018-07-27,1.49,4.0 and up
STADE.CD,NEWS_AND_MAGAZINES,nan,0,1.7M,5+,True,0.0,Everyone,News & Magazines,2018-06-09,1.0,4.0.3 and up
OBJECTIFINFOS.CD,NEWS_AND_MAGAZINES,nan,2,4.2M,50+,True,0.0,Everyone,News & Magazines,2018-05-23,1.1,4.1 and up
DIY CD Craft Ideas,LIFESTYLE,4.4,5,4.6M,"1,000+",True,0.0,Everyone,Lifestyle,2017-01-14,1.0,2.3 and up
РееI Smart Remote MP3 CD Player,TOOLS,3.2,27,2.7M,"5,000+",True,0.0,Everyone,Tools,2018-01-22,1.2,4.0 and up
CD Padel Mora,SPORTS,nan,1,7.2M,50+,True,0.0,Everyone,Sports,2018-06-14,7.3,4.0 and up
Diligan CD VR,MEDICAL,nan,1,46M,50+,True,0.0,Everyone,Medical,2018-05-21,1.0,4.4 and up
CD Supply,BUSINESS,nan,0,14M,5+,True,0.0,Mature 17+,Business,2018-05-28,2.3.2,5.0 and up
Music Collector Inventory Organizer UPC Discogs,LIFESTYLE,3.5,155,12M,"10,000+",True,0.0,Everyone,Lifestyle,2017-10-13,3.1,4.1 and up
CE on the go,TOOLS,4.4,79,3.7M,"10,000+",True,0.0,Everyone,Tools,2018-02-15,1.283.0037,2.3.3 and up
